example_id,question,gold_answer,rag_answer,gold_exact_match,gold_f1,google_gemini_2_5_flash_lite_faithfulness,google_gemini_2_5_flash_lite_relevance,google_gemini_2_5_flash_lite_conciseness,google_gemini_2_5_flash_lite_quality,google_gemini_2_5_flash_faithfulness,google_gemini_2_5_flash_relevance,google_gemini_2_5_flash_conciseness,google_gemini_2_5_flash_quality,google_gemini_2_5_pro_faithfulness,google_gemini_2_5_pro_relevance,google_gemini_2_5_pro_conciseness,google_gemini_2_5_pro_quality,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_sonnet_4_20250514_faithfulness,anthropic_claude_sonnet_4_20250514_relevance,anthropic_claude_sonnet_4_20250514_conciseness,anthropic_claude_sonnet_4_20250514_quality,gold_bertscore
0,The Office of the Federal Register is an office of the United States government within which independent agency of the United States government charged with preserving and documenting government and historical records?,National Archives and Records Administration,The National Archives and Records Administration (NARA),True,0.8333333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9517294764518738
1,"The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring which American actor, called ""The King of Cool""?","Terence Steven ""Steve"" McQueen",Steve McQueen,False,0.3333333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.884812593460083
2,"Who was the director of the 1990 romantic comedy film in which  ""Exile"" was featured?",Peter Weir,Peter Weir,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0000001192092896
3,Which city in Upper Austria did 2017 European Under-23 Baseball Championship hold,Wels,Wels,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999998807907104
4,September Song was a film that starred the musician of what nationality?,English,"German

The context states that Kristie Reeves (née Kerstin Weingartner) is a German actress, musical theater performer and producer, and her first acting role was in the feature film ""September Song"" which premiered at the Munich Film Festival in 2001. The question asks about the nationality of the musician who starred in this film, and the context identifies Kristie Reeves as a musical theater performer (which involves musical elements) and explicitly states she is German. Therefore, the musician in question is German.",False,0.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.6666666666666665,0.7955158352851868
5,What is the area of the town that Church of St. Anne is located in (in Acres)?,887,"The provided context does not include information about the area of the town that Church of St. Anne is located in, measured in acres. The context mentions several locations with ""St. Anne"" (e.g., Vilnius, Florida, Berlin, New Hampshire, Inagoj), but none specify the area of any town in acres. The only numerical area mentioned in the context is ""about 15 acres"" for Lake St. Anne in Florida, but this refers to a lake, not the town area. The question specifically asks for the ""area of the town,"" and the context does not provide this detail for any of the Church of St. Anne locations. Therefore, the answer cannot be determined from the given context.",False,0.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,2.333333333333333,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,3.0,4.333333333333333,0.7782735824584961
6,"Jacopo Bertucci, was an Italian painter of the Renaissance period, he painted for the ""Basilica of San Vitale"" is a church in Ravenna, in which country?",Italy,Italy,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999999403953552
7,What brothers of Samoan descent recorded an album that reached No. 1 in New Zealand and stayed there for 5 consecutive weeks?,Pene Pati and Amitai Pati,Pene Pati and Amitai Pati,True,1.0,3.0,3.0,5.0,3.6666666666666665,5.0,5.0,5.0,5.0,,,,,1.0,1.0,5.0,2.333333333333333,5.0,5.0,5.0,5.0,1.0000001192092896
8,What series starring Andrew Stahl aired on CBS from April 1994 to August 1995?,Christy,Christy,True,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9999998807907104
9,"Which airport is in Alaska, Aberdeen Regional Airport or Ralph Wien Memorial Airport?",Ralph Wien Memorial Airport,"Ralph Wien Memorial Airport is in Alaska, as stated in the context: it is located in the ""Northwest Arctic Borough of the U.S. state of Alaska."" In contrast, Aberdeen Regional Airport is in South Dakota, as specified in the context: it is located in ""Brown County, South Dakota, United States."" Therefore, Ralph Wien Memorial Airport is the airport in Alaska.

Answer: Ralph Wien Memorial Airport",True,0.2162162162162162,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.666666666666667,,,,,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,0.8510265946388245
