strategy,chunker,model,question,gold_answer,rag_answer,gold_f1,gold_exact_match,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_haiku_4_5_20251001_scorer_latency_ms,openai_gpt_5_4_mini_faithfulness,openai_gpt_5_4_mini_relevance,openai_gpt_5_4_mini_conciseness,openai_gpt_5_4_mini_quality,openai_gpt_5_4_mini_scorer_latency_ms,consensus_quality,strategy_latency_ms,scorer_latency_ms_total,total_latency_ms,context_sent_to_llm,failure_stage,failure_stage_confidence,failure_stage_method,gold_in_chunks,gold_in_retrieved,gold_in_context,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,llm_model,llm_quantization,dataset_name,dataset_sample_seed,gold_bertscore
naive,recursive,qwen3.5:0.8b,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,"Yes, both are American punk rock musicians.

According to the provided text, **Tim McIlrath** is identified as a ""lead singer, rhythm guitarist, songwriter"" who is an ""American punk rock musician."" He also mentions he is ""straight edge.""

**Spike Slawson** is identified as ""an American punk rock musician"" who was a member of various bands including ""Me First and the Gimme Gimmes"" and ""Swingin' Utters.""",0.0,True,5.0,5.0,4.0,4.666666666666667,2074.5186999847647,5.0,5.0,4.0,4.666666666666667,1512.5086000189183,4.666666666666667,2868.560400005663,3587.027300003683,6455.587700009346,"---

## Spike Slawson
Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.

---

---

## Tim McIlrath
Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.  He is the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against.  McIlrath is known to support animal rights and actively promotes PETA with his band.  He is also straight edge.

---

The Filthy Thieving Bastards is an American folk/punk rock group formed in 2000 in San Francisco, California.  The band was originally a side project put together by Johnny Bonnel and Darius Koski of the Swingin' Utters.  Spike Slawson (also from Swingin' Utters) later joined the band, along with recording engineer Randy Burk.  Greg Lisher from Camper Van Beethoven guested on guitar for several songs on their second release.  Their music is influenced by folk rock, Celtic rock, country music,

The Dwarves Must Die is the 2004 release by the American punk band Dwarves.  It is the band's first release on the ""Sympathy for the Record Industry"" label.  There are several cameos, including Dexter Holland from The Offspring, Nash Kato from Urge Overkill, desert rock icon Nick Oliveri, Josh Freese from The Vandals, Spike Slawson from Me First and the Gimme Gimmes, gangster rapper San Quinn, DJ Marz, and even the original Space Ghost himself, Gary Owens.  The rather freeform departure from

---

## The Honor System (band)
The Honor System was an American punk rock band from Chicago, Illinois, formed in 1999 by Dan Hanaway and Rob DePaola, after the breakup of their previous band The Broadways.  The band briefly featured future Rise Against frontman Tim McIlrath as a bassist.  They broke up in 2004, leaving behind two studio albums and three EPs.

---",none,,substring,False,False,False,recursive,500.0,100.0,21,ollama,nomic-embed-text,768,hybrid,5,5,1891,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8002223968505859
naive,recursive,qwen3.5:0.8b,Alan Furst and Lee Child are what?,is a British author,"Lee Child and Alan Furst are both British authors. Lee Child wrote the Jack Reacher novel series, and Alan Furst wrote several Polish crime novels, including *The Polish Officer*, *The World at Night*, and *The Affair*.",0.0666666666666666,False,2.0,4.0,4.0,3.333333333333333,2800.5184000066947,2.0,4.0,4.0,3.333333333333333,1172.6543999975547,3.333333333333333,807.6099999889266,3973.1728000042494,4780.782799993176,"---

## Lee Child
James D. ""Jim"" Grant (born 29 October 1954), primarily known by his pen name Lee Child, is a British author who writes thriller novels, and is most well-known for his ""Jack Reacher"" novel series.  The books follow the adventures of a former American military policeman, Jack Reacher, who wanders the United States.  His first novel, ""Killing Floor"", won both the Anthony Award, and the Barry Award for Best First Novel.

---

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---

## The World at Night
The World at Night (1996) is a novel by Alan Furst.

---

## The Affair (Child novel)

The Affair is the sixteenth book in the Jack Reacher series written by Lee Child but is a prequel set chronologically before most of them.  It was published on 29 September 2011 in the United Kingdom and was published on 27 September 2011 in the USA.  ""The Affair"" is a prequel set six months before Child's first novel, ""Killing Floor"" and setting out the explosive circumstances under which Reacher's career in the United States Army was terminated.  This book is written in the first person.

of Simon and Schuster, a consulting editor at the ""Los Angeles Times"", and editor in chief of ""California Magazine"".",generation,high,substring,True,True,True,recursive,500.0,100.0,20,ollama,nomic-embed-text,768,hybrid,5,5,1250,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8699897527694702
naive,recursive,qwen3.5:0.8b,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli,"Based on the provided context, **Fusaro Lake** is situated near the modern town of Castellammare di Stabia, which is also referred to as the commune of **Stabia**. The description explicitly mentions that the town was ""near the modern town of Castellammare di Stabia"".",0.0,False,1.0,1.0,3.0,1.6666666666666667,2546.7147000017576,1.0,2.0,3.0,2.0,1255.0319000147283,1.8333333333333333,852.5956000084989,3801.746600016486,4654.342200024985,"---

## Reperi
Reperi was an ancient Roman Town of Roman North Africa, in the Roman province of Mauritania Cesariense.  The exact location of the ancient town is now unknown, but is surmised to have been in Northern Algeria.  The town seems to have last till the Muslim conquest of the Maghreb.

---

---

## Miróbriga
Miróbriga (""Mirobriga Celticorum"") is an ancient Roman town located near the village and civil parish of Santiago do Cacém, in the municipality of the same name in the south-west of Portugal.  Archeology revealed a that the town occupied the site of an ancient Iron Age settlement that existed since the 9th century B.C.

---

Camulodunum ( or ; Latin: ' ), the Ancient Roman name for what is now Colchester in Essex, was an important town in Roman Britain, and the first capital of the province.  It is claimed to be the oldest town in Britain.  Originally the site of the Brythonic-Celtic oppidum of Camulodunon (meaning """"The Stronghold of Camulos""""), capital of the Trinovantes and later the Catuvellauni tribes, it was first mentioned by name on coinage minted by the chieftain Tasciovanus sometime between 20 and 10 BC.

---

## Stabiae
Stabiae was an ancient Roman town near the modern town of Castellammare di Stabia and approximately 4.5 km southwest of Pompeii, and which became famous for the magnificent Roman villas found there in recent times.  The beautiful objects and frescoes taken from these villas were often sold and distributed, while many can be found in the National Archaeological Museum of Naples.

---

---

## Fusaro Lake
Lake Fusaro (Italian: ""Lago di Fusaro"") is a lake of the Campania region that is situated west of Naples, Italy, in the territory of the community of Bacoli.  It is about 0.5 mi from Baia, and about 1 mi south of the acropolis of Cumae.  It is separated from the sea by a narrow coastal strip, it is a very unusual ecosystem of great interest, characterized by a variety of vegetation which is specific to the region.

---",generation,high,substring,True,True,True,recursive,500.0,100.0,18,ollama,nomic-embed-text,768,hybrid,5,5,1991,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8135924339294434
naive,recursive,qwen3.5:0.8b,the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,Lake Geneva,1.0,True,5.0,5.0,5.0,5.0,1614.0854000113904,5.0,5.0,5.0,5.0,1357.6727000181563,5.0,565.019100002246,2971.7581000295468,3536.7772000317927,"---

## Belgium in the Eurovision Song Contest 1989
Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May.  Ingeborg was the winner of the Belgian national final for the contest, held in Brussels on 18 March.

---

---

## Lausanne
Lausanne ( , ] , German: ""Lausanne"" , and also ""Lausannen"" Italian: ""Losanna"" , Romansh: ""Losanna"" ) is a city in the French-speaking part of Switzerland, and the capital and biggest city of the canton of Vaud.  The city is situated on the shores of Lake Geneva (French: ""Lac Léman"" , or simply ""Le Léman"").  It faces the French town of Évian-les-Bains, with the Jura Mountains to its north-west.  Lausanne is located 62 km northeast of Geneva.

---

The Eurovision Song Contest 2017 was the 62nd edition of the Eurovision Song Contest.  It took place in the International Exhibition Centre in Kiev, Ukraine, following Ukraine's victory at the 2016 contest in Stockholm with the song ""1944"", written and performed by Jamala.  This was the second time the contest took place in Kiev, after 2005 , as well as the fourth Eurovision event, after the Junior Eurovision Song Contest in 2009 and 2013 .  The contest consisted of two semi-finals on 9 and 11

## Eurovision Song Contest 1998
The Eurovision Song Contest 1998 was the 43rd annual Eurovision Song Contest.  The contest took place in Birmingham in the United Kingdom, following Katrina and the Waves's win in the 1997 contest in Dublin with ""Love Shine A Light"".  It was the UK's fifth win, and the eighth time that the UK hosted the contest, the last being in Harrogate in 1982.  The UK has not won or hosted the contest since.  The contest took place in the National Indoor Arena on 9 May 1998.

The Eurovision Song Contest 2005 was the 50th annual Eurovision Song Contest.  The contest took place at the Palace of Sports in Kiev, Ukraine, following Ruslana's win in the 2004 Contest with the song ""Wild Dances"".  The contest consisted of two shows: the semi-final and final, which took place on 19 and 21 May 2005, respectively.  The shows were hosted by Maria Efrosinina and Pavlo Shylko.  Thirty-nine countries participated, including the débuts of Bulgaria and Moldova and the return of",none,,substring,True,True,True,recursive,500.0,100.0,33,ollama,nomic-embed-text,768,hybrid,5,5,2280,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.0
naive,recursive,qwen3.5:0.8b,"The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring which American actor, called ""The King of Cool""?","Terence Steven ""Steve"" McQueen",Steve McQueen,0.3333333333333333,False,5.0,5.0,5.0,5.0,1501.929799997015,5.0,5.0,5.0,5.0,1346.5689000149723,5.0,600.0616999808699,2848.4987000119872,3448.560399992857,"---

## The Great Escape (film)
The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring Steve McQueen, James Garner, and Richard Attenborough, filmed in Panavision.

---

The Great Escape is an insider's account by Australian writer Paul Brickhill of the 1944 mass escape from the German prisoner of war camp Stalag Luft III for British and Commonwealth airmen.  As a prisoner in the camp, he participated in the escape plan but was debarred from the actual escape 'along with three or four others on grounds of claustrophobia'.  The introduction to the book is written by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The

Terence Steven ""Steve"" McQueen (March 24, 1930 – November 7, 1980) was an American actor.  Called ""The King of Cool"", his ""anti-hero"" persona developed at the height of the counterculture of the 1960s and made him a top box-office draw of the 1960s and 1970s.  McQueen received an Academy Award nomination for his role in ""The Sand Pebbles"".  His other popular films include ""The Cincinnati Kid"", ""The Thomas Crown Affair"", ""Bullitt"", ""The Getaway"", and ""Papillon"", as well as the all-star ensemble

by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The Great Escape"".

---

## Camp Albuquerque
Camp Albuquerque was an American World War II POW camp in Albuquerque, New Mexico that housed Italian and German prisoners of war.  From this branch camp, the POWs did mostly farm labor, from 1943 to 1946.  Most of these POWs were transferred from Camp Roswell, which was a base or main POW camp for New Mexico.  Camp Lordsburg, New Mexico, and Camp El Paso, Texas, were also base camps.",generation,high,substring,True,True,True,recursive,500.0,100.0,16,ollama,nomic-embed-text,768,hybrid,5,5,1809,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8848125338554382
naive,recursive,qwen3.5:0.8b,What is the title of Jung Ji-hoon's first single from his third album? ,"""It's Raining""","Based on the text provided under the section **""Rain (entertainer)""**, Jung Ji-hoon is the South Korean singer-songwriter, actor, and music producer, and is titled ""Rain"" in the context of his third album. The text states that **""Rain"" is the first single from his third album**.

The title of Jung Ji-hoon's first single from his third album is **Rain**.",0.0,False,1.0,1.0,3.0,1.6666666666666667,5381.83639998897,2.0,3.0,3.0,2.6666666666666665,2050.8737999771256,2.1666666666666665,1115.7124000019394,7432.710199966095,8548.422599968035,"""Shining Down"" is a song by Lupe Fiasco.  It was intended to be the first single of ""Everywhere"", the first of three CDs of Lupe Fiasco's triple album, ""Lupe Fiasco's LupE.N.D."" , but because of its release being withheld, there was speculation circulating that it may be the first single of his third album, ""Lasers"".  The song, however, was only included in the iTunes deluxe version of the album and was considered a promotional single.  The song is produced by Soundtrakk and features Matthew

top 20 hits ""Two Pink Lines"" and ""Guys Like Me"" and a #51 chart entry with the title track.  Church released ""His Kind of Money (My Kind of Love)"", which peaked at #46 on the charts but did not appear on an album.  His second release ""Carolina"", included his first top 10 hits with ""Love Your Love the Most"" and ""Hell on the Heart"", which both peaked at #10.  The album's last single, ""Smoke a Little Smoke"", peaked at #16.  His third album, ""Chief"", was also his first for EMI Records' Nashville

---

## Rain (entertainer)
Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.

---

---

## Back to the World (song)
""Back to the World"" is the first single from R&B singer Tevin Campbell's third album of the same name.  Written by Jamey Jaz, Rahsaan Patterson and Mikelyn Roderick, it was the only single from his third album to garner decent success on the charts, peaking at #16 on the R&B Charts.  It was also the only single from the album to reach the Hot 100, peaking at #47.  This is Tevin's 10th and last single to date to reach the top 20 on the R&B Charts.

## You Can't Stop Me
""You Can't Stop Me"" is the first single from the Guano Apes' third album, ""Walking on a Thin Line"".  It was released as a single on January 13, 2003, at which point the album it would appear on was still untitled.  It reached No. 10 in Germany, also charting in four other European countries, and performing well in Portugal.  It was their first single released in the United Kingdom.  The song would later also appear on the 2004 greatest hits album, ""Planet of the Apes"".",retrieval,high,substring,True,False,False,recursive,500.0,100.0,32,ollama,nomic-embed-text,768,hybrid,5,5,2168,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8337516188621521
naive,recursive,qwen3.5:0.8b,"Which magazine is published by with an independent volunteer editor, Doctor Who Magazine or National Contest Journal?",National Contest Journal,National Contest Journal,1.0,True,5.0,5.0,5.0,5.0,2069.055300002219,5.0,5.0,5.0,5.0,952.9854000138585,5.0,616.9515999790747,3022.0407000160776,3638.992299995152,"## National Contest Journal
The National Contest Journal (also referred to by the acronym NCJ) is a bimonthly magazine published by the American Radio Relay League, with an independent volunteer editor.  The magazine covers topics related to amateur radio contesting.  The magazine is published in English and draws its subscription base primarily from the United States of America and Canada.

---

---

## Doctor Who Magazine
Doctor Who Magazine (abbreviated as DWM) is a magazine devoted to the long-running British science fiction television series ""Doctor Who"".  Its current editor is Marcus Hearn, who took over from the magazine's longest-serving editor, Tom Spilsbury, in July 2017.  It is currently recognised by ""Guinness World Records"" as the longest running TV tie-in magazine.

---

---

## NARAM
NARAM is the Annual Meet of the National Association of Rocketry (NAR).  It is the national contest culminating the rocket contest year, and also includes fun, or ""sport,"" flying of model rockets for those who don't wish to compete.  The NAR is the governing body for the sport/hobby of model rocketry in the United States.  NARAM is traditionally held the first week of August.

---

in Spanish under 35 years.  Some of her stories have been translated into English, French, Serbian, Swedish, Dutch, and Danish, and published in magazines and other cultural forums.  An English translation of her story ""Killing a Dog"" was published in the Summer 2009 issue of the London-based quarterly newspaper The Drawbridge.

her storybook ""La Furia de las pestes"", soon to be published.  She was included in the anthologies ""Quand elles se glissent dans la peau d'un homme"" (Éditions Michalon, Francia.  2007), ""Una terraza propia"" (Norma, 2006), ""La joven guardia"" (Norma, 2005), ""Cuentos Argentinos"" (Siruela, España 2004), among others.  In 2010 she was chosen by the Granta magazine as one of the 22 best writers in Spanish under 35 years.  Some of her stories have been translated into English, French, Serbian,",none,,substring,True,True,True,recursive,500.0,100.0,23,ollama,nomic-embed-text,768,hybrid,5,5,2017,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.0
naive,recursive,qwen3.5:0.8b,Who resigned as the Welsh Assembly Member for the North Wales region to represent Eddisbury in the House of Commons in the UK Parliament in 2015?,Antoinette Sandbach,Antoinette Sandbach,1.0,True,5.0,5.0,5.0,5.0,2258.613099984359,5.0,5.0,5.0,5.0,1094.6032000065316,5.0,561.7332000110764,3353.2162999908905,3914.949500001967,"---

## Antoinette Sandbach
Antoinette Geraldine Mackeson-Sandbach (born 15 February 1969), known in politics as Antoinette Sandbach, is a Conservative Party politician who was elected as the Member of Parliament for Eddisbury at the 2015 general election.  The following day, 8 May 2015, she resigned as the Welsh Assembly Member for the North Wales region.  having been elected as a North Wales regional Assembly Member at the May 2011 election.

---

to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the Year"" by the BBC Wales am.pm programme.  He resigned from the Welsh Assembly on 20 June 2013.  In 2017 he unsuccessfully sought to return to the House of Commons for his former constituency.

## Eddisbury (UK Parliament constituency)
Eddisbury is a constituency in Cheshire represented in the House of Commons of the UK Parliament since 2015 by Antoinette Sandbach, a Conservative.

---

---

## Altaf Hussain (Welsh politician)
Dr Altaf Hussain was a Welsh Conservative regional Assembly Member in the National Assembly for Wales from 2015 to 2016.  He is a retired consultant orthopaedic surgeon.  Prior to dissolution of the fourth assembly, he sat on the Health Committee at the National Assembly for Wales, and was Shadow Minister for Social Services.  He was defeated in the 2016 Welsh Assembly elections.  In 2017 he was elected to Bridgend County Borough Council.

---

---

## Llyr Huws Gruffydd
Llŷr Huws Gruffydd, (born 25 September 1970) is a Welsh Plaid Cymru politician, and a Member of the Welsh Assembly for the North Wales region.

---",none,,substring,True,True,True,recursive,500.0,100.0,18,ollama,nomic-embed-text,768,hybrid,5,5,1602,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.9999998807907104
naive,recursive,qwen3.5:0.8b,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington, the team appeared in the 2005 NCAA tournament, losing to which female basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I?",Texas Tech Lady Raiders basketball,Texas Tech Lady Raiders basketball,1.0,True,5.0,5.0,5.0,5.0,2563.4910999797285,5.0,5.0,5.0,5.0,986.711799982004,5.0,590.3252999996766,3550.2028999617323,4140.528199961409,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team appeared in the 2005 NCAA tournament, losing to #4 seed Texas Tech in the first round, 69–49, and the 2007 NCAA tournament, dropping their first round game to #4 seed Texas A&M 58–50.

---

## Texas Tech Lady Raiders basketball
The Texas Tech Lady Raiders basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I.  Candace Whitaker, a former player for the Lady Raiders, was named head coach in 2013.  In her inaugural season in 2013–14, the team finished winless in league play with a conference mark of 0–18.

---

## Texas–Arlington Mavericks men's basketball
The Texas–Arlington Mavericks men's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on the University of Texas at Arlington's campus in Arlington.  The team appeared in the 2008 NCAA tournament, losing against the #1 seed Memphis in the first round, although Memphis was later forced to vacate the win due to infractions committed by the program.

The Texas–Arlington Mavericks volleyball team, historically one of the most nationally prominent teams on campus, is an NCAA Division I college volleyball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team has appeared in eight AIAW National Tournaments, eight NCAA Tournaments and one National Invitational Volleyball Championship Tournament, collecting 12 regular seasons titles

The Texas Tech Red Raiders Basketball team represents Texas Tech University in Lubbock, Texas, United States in NCAA Division I men's basketball competition (the school's women's basketball team is known as the ""Lady Raiders"".)  Until April 2016, the team was coached by Tubby Smith, who guided the team to the 2016 NCAA Tournament appearance, its first appearance in the event since 2007.  With Smith's departure to coach the Memphis Tigers, the school hired former Arkansas-Little Rock coach Chris",none,,substring,True,True,True,recursive,500.0,100.0,35,ollama,nomic-embed-text,768,hybrid,5,5,2380,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.9999998211860657
naive,recursive,qwen3.5:0.8b,What is the middle name of the daughter of Paul M. Fleiss?,Lynne,"Based on the provided text, Paul M. Fleiss's middle name was initially recorded as **Ryman** on his birth certificate, but it was later changed to **Lyman** due to a clerical error. Therefore, Lyman is his actual middle name.

**Answer:** Lyman",0.0,False,1.0,1.0,4.0,2.0,8267.301800020505,2.0,5.0,4.0,3.6666666666666665,1470.7948999712244,2.833333333333333,783.5824999783654,9738.09669999173,10521.679199970094,"---

## Latvian name
Latvian names, like in most European cultures, consist of two main elements: the given name (""vārds"") followed by family name (""uzvārds"").  During the Soviet occupation (1940 - 1991) the practice of giving a middle name was discouraged, but since the restoration of Independence Latvian legislation again allows giving of up to two given names and it has become more common to give a middle name to children.

---

---

## Barend
Barend or (somewhat dated spelling) Barent is a Dutch male given name and occasional middle name.  As of 2014, there are over than 4,000 men in the Netherlands with this as their first name, and nearly 3,000 with it as their middle name.  It was likely derived from Bernard.  Notable people with the name include:

## Paul M. Fleiss

given the middle name ""Ryman"" but a clerical error on his birth certificate resulted in his middle name being recorded as ""Lyman.""

In several cultures, people's names usually include one or more names in addition to the portion that is usually considered adequate to identify them.  In a number of cultures where a given name is expected to precede the surname, such a name is likely to be placed after the given name and before the surname, and thus called a middle name.  In English-speaking American culture, that term is often applied (arguably mistakenly) to names, occupying that position, even if the bearer would insist",retrieval,high,substring,True,False,False,recursive,500.0,100.0,22,ollama,nomic-embed-text,768,hybrid,5,5,1413,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8192543983459473
