example_id,question,gold_answer,rag_answer,gold_exact_match,gold_f1,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,dataset_name,dataset_sample_seed,difficulty,question_type,strategy_latency_ms,failure_stage,failure_stage_confidence,failure_stage_method,context_sent_to_llm,gold_in_chunks,gold_in_retrieved,gold_in_context,google_gemini_2_5_flash_lite_faithfulness,google_gemini_2_5_flash_lite_relevance,google_gemini_2_5_flash_lite_conciseness,google_gemini_2_5_flash_lite_quality,google_gemini_2_5_flash_faithfulness,google_gemini_2_5_flash_relevance,google_gemini_2_5_flash_conciseness,google_gemini_2_5_flash_quality,google_gemini_2_5_pro_faithfulness,google_gemini_2_5_pro_relevance,google_gemini_2_5_pro_conciseness,google_gemini_2_5_pro_quality,google_gemini_3_1_pro_preview_faithfulness,google_gemini_3_1_pro_preview_relevance,google_gemini_3_1_pro_preview_conciseness,google_gemini_3_1_pro_preview_quality,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_sonnet_4_20250514_faithfulness,anthropic_claude_sonnet_4_20250514_relevance,anthropic_claude_sonnet_4_20250514_conciseness,anthropic_claude_sonnet_4_20250514_quality,anthropic_claude_opus_4_20250514_faithfulness,anthropic_claude_opus_4_20250514_relevance,anthropic_claude_opus_4_20250514_conciseness,anthropic_claude_opus_4_20250514_quality,gold_bertscore,answer_quality
0,The Office of the Federal Register is an office of the United States government within which independent agency of the United States government charged with preserving and documenting government and historical records?,National Archives and Records Administration,National Archives and Records Administration,True,1.0,recursive,500,100,53,ollama,mxbai-embed-large,1024,hybrid,10,3,1075,bge,3,ollama,local,hotpotqa,42,medium,bridge,23820.62959999893,none,,substring,"The National Archives and Records Administration (NARA) is an independent agency of the United States government charged with preserving and documenting government and historical records and with increasing public access to those documents, which comprise the National Archives.  NARA is officially responsible for maintaining and publishing the legally authentic and authoritative copies of acts of Congress, presidential proclamations and executive orders, and federal regulations.  The NARA also

---

## Office of the Federal Register
The Office of the Federal Register is an office of the United States government within the National Archives and Records Administration.

---

## United States Government Manual
The United States Government Manual is the official handbook of the federal government, published annually by the Office of the Federal Register and printed and distributed by the United States Government Printing Office.  The first edition was issued in 1935; before the 1973/74 edition it was known as the United States Government Organization Manual.

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0000001192092896,good
1,The first person to interpret Relational quantum mechanics has worked in what countries? ,"Italy, the United States and since 2000, in France","Based solely on the provided context, it is impossible to determine the countries where the first person to interpret Relational quantum mechanics (Carlo Rovelli) has worked. The context states that ""This interpretation was first delineated by Carlo Rovelli in a 1994 preprint,"" but it contains no information about Carlo Rovelli's countries of work or origin. The context does not mention any countries associated with Rovelli's work or background. Therefore, the answer cannot be derived from the given text.",False,0.0845070422535211,recursive,500,100,42,ollama,mxbai-embed-large,1024,hybrid,10,3,818,bge,3,ollama,local,hotpotqa,42,hard,bridge,10267.087699990952,retrieval,high,substring,"Relational quantum mechanics (RQM) is an interpretation of quantum mechanics which treats the state of a quantum system as being observer-dependent, that is, the state ""is"" the relation between the observer and the system.  This interpretation was first delineated by Carlo Rovelli in a 1994 preprint, and has since been expanded upon by a number of theorists.  It is inspired by the key idea behind special relativity, that the details of an observation depend on the reference frame of the

the paradoxes of quantum physics could be overcome by developing a relational approach, which was needed at one time to solve the paradoxes of relativistic physics of space and time.  It is also hoped that this entry will serve as a complement to Rovelli’s relational quantum mechanics (RQM).

## Relational quantum mechanics",True,False,False,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,3.0,4.333333333333333,5.0,4.0,4.0,4.333333333333333,5.0,5.0,4.0,4.666666666666667,5.0,5.0,5.0,5.0,0.8279784321784973,poor
2,"Which women's cricket team based in Sydney, Australia featured an Australian sportswoman named Ellyse Alexander Perry?",The Sydney Sixers,Sydney Sixers,False,0.8,recursive,500,100,25,ollama,mxbai-embed-large,1024,hybrid,10,3,1109,bge,3,ollama,local,hotpotqa,42,hard,bridge,7625.45580000733,generation,high,substring,"---

## Ellyse Perry
Ellyse Alexandra Perry (born 3 November 1990) is an Australian sportswoman who made her debut for both the Australian cricket and the Australian women's national soccer team at the age of 16.  She played her first cricket international in July 2007 before earning her first soccer cap for Australia a month later.  Perry is the youngest person to represent Australia in cricket and the first Australian to have appeared in both cricket and soccer World Cups.

The Sydney Sixers WBBL team is a women's cricket team based in Sydney, Australia, that competed in the inaugural women's Twenty20 Women's Big Bash League commenced in December, 2015.  They will be one of 8 founding teams.  They are a franchise aligned with the current men’s competition (Big Bash League) - adopting the same colours and team name.  The Hon. Gladys Berejiklian MP is the Patron of the team.  Ellyse Perry made history by becoming the Sydney Sixers Women's first ever signing.  The

the team.  Ellyse Perry made history by becoming the Sydney Sixers Women's first ever signing.  The team is coached by Ben Sawyer.",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9489275217056274,good
3,"Which list did ""Fires of Winter"" reach?","""New York Times"" bestseller","The ""New York Times"" bestseller list",True,0.8,recursive,500,100,21,ollama,mxbai-embed-large,1024,hybrid,10,3,1365,bge,3,ollama,local,hotpotqa,42,hard,bridge,15746.526899994931,none,,substring,"---

## Johanna Lindsey
Johanna Lindsey (born Johanna Helen Howard, March 10, 1952), is one of the most popular American writers of historical romance novels worldwide.  All of her books reached the ""New York Times"" bestseller list, many reaching No. 1.

---

## Fires of Winter
Fires of Winter is a novel by Johanna Lindsey originally published in September 1980 by Avon Books.  It is the first book in the Haardrad Family Saga Series.

---

---

## List of fires
This is a list of historic fires.  Urban fires are the most numerous due to loss of life and property, but also included are lists of fires in individual structures, ships and other transportation, and mines.  A few of the most important wildfires or forest fires are included, but this list is not the primary resource for the most severe wildfires, which is summarized in the List of forest fires.

## Winter's Heart
Winter's Heart a fantasy novel by American author Robert Jordan, the ninth book of his series ""Wheel of Time"".  It was published by Tor Books and released on November 7, 2000.  Upon its release, it immediately rose to the #1 position on the ""New York Times"" hardcover fiction bestseller list, making it the second ""Wheel of Time"" book to reach the #1 position on that list.  It remained on the list for the next two months.  ""Winter's Heart"" consists of a prologue and 35 chapters.",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.666666666666667,4.0,5.0,5.0,4.666666666666667,2.0,5.0,5.0,4.0,0.9595017433166504,good
4,Who is the father of AFL medium-sized forward Tory Dickson?,Glenn Dickson,Glenn Dickson,True,1.0,recursive,500,100,24,ollama,mxbai-embed-large,1024,hybrid,10,3,813,bge,3,ollama,local,hotpotqa,42,hard,bridge,6460.517899991828,none,,substring,"---

## Glenn Dickson (footballer)
Glenn Dickson (born 5 November 1954) is a former Australian rules footballer who played with Richmond in the Victorian Football League (VFL).  He is the father of Tory Dickson.

---

---

## Tory Dickson
Tory Dickson (born 26 September 1987) is an Australian rules footballer who plays for the Western Bulldogs in the Australian Football League (AFL).  He plays mainly as a medium-sized forward.

---

---

## Ian Dickson (footballer)
Ian William Dickson (born Maxwelltown (now part of Dumfries), South-West Scotland, September 1902; died 1976) was a Scottish professional footballer whose played as a forward.  He played for Queen of the South, Aston Villa and Middlesbrough.  He was the grandfather of another Ian Dickson, the Australian television and radio personality.

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,good
5,What is the middle name of the daughter of Paul M. Fleiss?,Lynne,Lynne,True,1.0,recursive,500,100,22,ollama,mxbai-embed-large,1024,hybrid,10,3,831,bge,3,ollama,local,hotpotqa,42,medium,bridge,23341.506099997787,none,,substring,"---

## Heidi Fleiss
Heidi Lynne Fleiss (born December 30, 1965) is an American former madam, and also a columnist and television personality regularly featured in the 1990s in American media.  She ran a prostitution ring based in Los Angeles, California, and is often referred to as the ""Hollywood Madam"".

---

Paul Murray Fleiss (September 8, 1933 – July 19, 2014) was an American pediatrician and author known for his unconventional medical views.  Fleiss was a popular and sought-after pediatrician in the Greater Los Angeles area, both among poor and middle-class patients living near his Los Feliz office and among Southern California celebrities.  Fleiss was a breastfeeding and anti-circumcision advocate.  He recommended but did not insist upon childhood vaccinations, and stated he could be ""convinced

## Paul M. Fleiss",True,True,True,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.666666666666667,5.0,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,good
6,"For how many seasons was the running back that Barry Redden was overshadowed by, play in?",eleven,"The provided context does not specify the number of seasons Eric Dickerson played in the NFL. The context describes Barry Redden's career and mentions that he spent much of his career playing in the shadow of Eric Dickerson, a Pro Football Hall of Fame running back. However, the context does not include any numerical information about how many seasons Eric Dickerson played. While the context mentions that Billy Taylor played for five NFL seasons and Richardson was out of the NFL in five seasons, these details are not relevant to Eric Dickerson's career length. Therefore, the number of seasons Eric Dickerson played is not specified in the given context.

\boxed{not specified}",False,0.0,recursive,500,100,35,ollama,mxbai-embed-large,1024,hybrid,10,3,1168,bge,3,ollama,local,hotpotqa,42,medium,bridge,58295.02130000037,retrieval,high,substring,"---

## Barry Redden
Barry Redden (born July 21, 1960) is a former American football running back who played for the Los Angeles Rams, the San Diego Chargers, and the Cleveland Browns of the National Football League (NFL).  He spent much of his career playing in the shadow of Pro Football Hall of Fame running back Eric Dickerson.

---

Billy Taylor (born July 6, 1956) is a former professional American football player who was selected by the New York Giants in the fourth round of the 1978 NFL Draft.  A 6'0"", 215-lb.  running back from Texas Tech, Taylor played for five NFL seasons as a running back and kick returner.  He spent his first three seasons as a member of the Giants, and spent his final two split between the Giants, the New York Jets, and the Los Angeles Raiders.  As the starting running back for the Giants, he led

Richardson was considered by some as the best running back prospect since Adrian Peterson, and was selected third overall by the Cleveland Browns.  After being traded away from the Browns after just two seasons with the team, and out of the NFL in just five, he is often considered one of the biggest draft busts in league history.",True,False,False,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.666666666666667,5.0,5.0,3.0,4.333333333333333,,,,,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.333333333333333,5.0,5.0,4.0,4.666666666666667,0.7610201239585876,poor
7,"What is the given name of the American rapper who wrote the song ""3005""?",Donald Glover,Donald,False,0.6666666666666666,recursive,500,100,14,ollama,mxbai-embed-large,1024,hybrid,10,3,1068,bge,3,ollama,local,hotpotqa,42,medium,bridge,11645.71729999443,generation,high,substring,"---

## 3005
""3005"" (album version entitled ""V. 3005"") is a song by American rapper Childish Gambino from his second studio album ""Because the Internet"".  The song was released on October 22, 2013 as the first official single from the album.  It has since peaked at number 11 on the UK R&B Chart and 64 on the ""Billboard"" Hot 100.

---

---

## Because the Internet
Because the Internet is the second studio album by American rapper Donald Glover, under the stage name Childish Gambino.  It was released on December 10, 2013, by Glassnote Records and Island Records, and then four days later in North America by Glassnote and Universal.  The recording process began in 2012 and ended in October 2013.  Recording primarily took place at a mansion owned by basketball player Chris Bosh, which Gambino rented.

---

---

## Jaelyn
Jaelyn or Jaelynn, and its masculine equivalent, Jaylin, is an American given name.  The meaning of the name Jaelyn is supplanter, and the origin of the name is American.  It is a contraction of the female given name Jacqueline (] , ).

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8946820497512817,questionable
8,"Which genus has more species, Oemleria or Lygodium?",Lygodium,"Lygodium has more species. The context states that Lygodium is a genus of ""about 40 species,"" while Oemleria is the ""sole species"" in its genus. Therefore, Lygodium has significantly more species than Oemleria.",True,0.0714285714285714,recursive,500,100,2,ollama,mxbai-embed-large,1024,hybrid,10,2,711,bge,3,ollama,local,hotpotqa,42,medium,comparison,5752.962500002468,none,,substring,"---

## Lygodium
Lygodium (climbing fern) is a genus of about 40 species of ferns, native to tropical regions across the world, with a few temperate species in eastern Asia and eastern North America.  It is the sole genus in the family Lygodiaceae, though included in the family Schizaeaceae by some botanists.

---

## Oemleria
Oemleria cerasiformis, a shrub commonly known as osoberry or Indian plum, is the sole species in genus Oemleria.

## Lygodium palmatum
Lygodium palmatum is the only species of its genus native to North America.  Unlike most species in the genus, this one, called the American climbing fern (or Hartford fern, after Hartford, Connecticut), is extremely hardy in temperate zones.

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,4.0,4.666666666666667,4.0,5.0,5.0,4.666666666666667,5.0,5.0,5.0,5.0,0.8478509783744812,poor
9,Who starred in the 2016 comedy film co-written by an American actor who was a cast member of MADtv and starred in Suicide Squad?,Kevin Hart and Dwayne Johnson,"The question asks: **""Who starred in the 2016 comedy film co-written by an American actor who was a cast member of MADtv and starred in Suicide Squad?""**

---

### Step 1: Identify the actor who fits the criteria

From the provided context:

- **Ike Barinholtz** is described as an **American actor** who was a **cast member of MADtv**.
- He **starred in Suicide Squad (2016)**, as stated in the context: *""He is best known for his acting roles in 'Neighbors' (2014) and its sequel, 'Sisters' (2015), and 'Suicide Squad' (2016)""*.

So, **Ike Barinholtz** is the only person who satisfies all the conditions:
- American actor
- Cast member of MADtv
- Starred in *Suicide Squad* (2016)

---

### Step 2: Determine the film co-written by this actor

The context states:
- Ike Barinholtz **co-wrote** the **2016 comedy film** *Central Intelligence*.

So, the film in question is **Central Intelligence (2016)**.

---

### Step 3: Interpret the question

The question asks: **""Who starred in the 2016 comedy film co-written by [the actor]?""**

This means we are to identify **who starred in *Central Intelligence***, not who co-wrote it.

However, the **context does not provide the cast of *Central Intelligence***. It only states that Ike Barinholtz co-wrote the film and starred in *Suicide Squad*.

Given that the question is **specifically about who starred in the film**, and the context **does not list the cast of *Central Intelligence***, the only person who **uniquely fits the role** of the actor who co-wrote the film and meets all the criteria (MADtv cast member, *Suicide Squad* star) is **Ike Barinholtz**.

While the context does not explicitly state that Ike Barinholtz **starred in *Central Intelligence***, the question is structured to identify the **actor** who meets the criteria — not necessarily the **cast of the film**. In such cases, especially in standardized or quiz-style questions, the intended answer is the **person who matches the description**, even if the full cast is not listed.

---

### Final Answer

**Ike Barinholtz**",False,0.0129870129870129,recursive,500,100,29,ollama,mxbai-embed-large,1024,hybrid,10,3,1485,bge,3,ollama,local,hotpotqa,42,medium,bridge,61500.30690000858,retrieval,high,substring,"Isaac ""Ike"" Barinholtz (born February 18, 1977) is an American actor, comedian, voice actor and screenwriter.  He was a cast member on ""MADtv"" from 2002 to 2007, ""Eastbound & Down"" (2012) and currently has a regular role on ""The Mindy Project"".  In his film work, he is best known for his acting roles in ""Neighbors"" (2014) and its sequel, """" (2016), ""Sisters"" (2015), and ""Suicide Squad"" (2016), as well for as co-writing the screenplay for the 2016 comedy film ""Central Intelligence"".

Suicide Squad is a 2016 American superhero film based on the DC Comics antihero team of the same name, distributed by Warner Bros.  Pictures.  It is the third installment in the DC Extended Universe (DCEU).  The film is written and directed by David Ayer and stars an ensemble cast featuring Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis, Jai Courtney, Jay Hernandez, Adewale Akinnuoye-Agbaje, Ike Barinholtz, Scott Eastwood, and Cara Delevingne.  In ""Suicide Squad"", a secret

## Michael McDonald (comedian)
Michael James McDonald (born December 31, 1964) is an American actor, director, writer, and comedian.  He is best known for starring in the sketch comedy show ""MADtv"".  McDonald joined the show during the fourth season (1998) and remained in the cast until the end of the thirteenth and penultimate season, having become the longest-tenured cast member.  While on the show, he developed many memorable characters.  He was a contributing writer and director on ""MADtv"".",True,False,False,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.333333333333333,2.0,3.0,3.0,2.6666666666666665,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.333333333333333,0.7699333429336548,poor
