strategy,chunker,model,question,gold_answer,rag_answer,gold_f1,gold_exact_match,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_haiku_4_5_20251001_scorer_latency_ms,openai_gpt_5_4_mini_faithfulness,openai_gpt_5_4_mini_relevance,openai_gpt_5_4_mini_conciseness,openai_gpt_5_4_mini_quality,openai_gpt_5_4_mini_scorer_latency_ms,consensus_quality,strategy_latency_ms,scorer_latency_ms_total,total_latency_ms,context_sent_to_llm,failure_stage,failure_stage_confidence,failure_stage_method,gold_in_chunks,gold_in_retrieved,gold_in_context,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,llm_model,llm_quantization,dataset_name,dataset_sample_seed,gold_bertscore
naive,recursive,qwen3.5:0.8b,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,"No, only Spike Slawson is an American punk rock musician in the context of the provided text.

While **Tim McIlrath** is explicitly described as an American punk rock musician (lead singer, rhythm guitarist, songwriter, and co-founder of *Rise Against*) and a ""straight edge,"" **Spike Slawson** is listed as ""an American punk rock musician, a member of **Me First** and the **Gimme Gimmes**,"" as well as in **Swingin' Utters**. The text provides no information about Spike Slawson's nationality, unlike the detailed profiles of Tim McIlrath.",0.0,False,1.0,5.0,3.0,3.0,2713.8211999990745,2.0,4.0,2.0,2.6666666666666665,2328.3551999993506,2.833333333333333,4205.126199994993,5042.176399998425,9247.302599993418,"---

## Spike Slawson
Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.

---

---

## Tim McIlrath
Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.  He is the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against.  McIlrath is known to support animal rights and actively promotes PETA with his band.  He is also straight edge.

---

The Filthy Thieving Bastards is an American folk/punk rock group formed in 2000 in San Francisco, California.  The band was originally a side project put together by Johnny Bonnel and Darius Koski of the Swingin' Utters.  Spike Slawson (also from Swingin' Utters) later joined the band, along with recording engineer Randy Burk.  Greg Lisher from Camper Van Beethoven guested on guitar for several songs on their second release.  Their music is influenced by folk rock, Celtic rock, country music,

The Dwarves Must Die is the 2004 release by the American punk band Dwarves.  It is the band's first release on the ""Sympathy for the Record Industry"" label.  There are several cameos, including Dexter Holland from The Offspring, Nash Kato from Urge Overkill, desert rock icon Nick Oliveri, Josh Freese from The Vandals, Spike Slawson from Me First and the Gimme Gimmes, gangster rapper San Quinn, DJ Marz, and even the original Space Ghost himself, Gary Owens.  The rather freeform departure from

---

## The Honor System (band)
The Honor System was an American punk rock band from Chicago, Illinois, formed in 1999 by Dan Hanaway and Rob DePaola, after the breakup of their previous band The Broadways.  The band briefly featured future Rise Against frontman Tim McIlrath as a bassist.  They broke up in 2004, leaving behind two studio albums and three EPs.

---",chunker,low,substring,False,False,False,recursive,500.0,100.0,21,ollama,qwen3-embedding:4b,2560,hybrid,5,5,1891,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.787277340888977
naive,recursive,qwen3.5:0.8b,Alan Furst and Lee Child are what?,is a British author,"Alan Furst and Lee Child are what influential historical spy novel writers?

Based on the provided text, specifically noting that **Alan Furst** is described as an ""heir to the tradition of **Eric Ambler and Graham Greene**"" and **Lee Child** as a writer of thriller novels, the most logical answer connecting them in this context is:

**influential historical spy novel writers.**

*Note: While the text mentions Alan Furst wrote spy novels (like *The Spies of Warsaw*) and Lee Child wrote thrillers, no other specific titles are mentioned regarding a direct relationship between them.*",0.0526315789473684,False,2.0,3.0,2.0,2.333333333333333,2948.0958999993163,2.0,3.0,2.0,2.333333333333333,1811.820100003388,2.333333333333333,1176.818899999489,4759.916000002704,5936.734900002193,"---

## Alan Furst
Alan Furst (born February 20, 1941) is an American author of historical spy novels. Furst has been called ""an heir to the tradition of Eric Ambler and Graham Greene,"" whom he cites along with Joseph Roth and Arthur Koestler as important influences.  Most of his novels since 1988 have been set just prior to or during the Second World War and he is noted for his successful evocations of Eastern European peoples and places during the period from 1933 to 1944.

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---

## The World at Night
The World at Night (1996) is a novel by Alan Furst.

---

---

## Lee Child
James D. ""Jim"" Grant (born 29 October 1954), primarily known by his pen name Lee Child, is a British author who writes thriller novels, and is most well-known for his ""Jack Reacher"" novel series.  The books follow the adventures of a former American military policeman, Jack Reacher, who wanders the United States.  His first novel, ""Killing Floor"", won both the Anthony Award, and the Barry Award for Best First Novel.

---

---

## The Spies of Warsaw
The Spies of Warsaw is a 2008 spy novel by Alan Furst about espionage involving the major nations shortly before World War II competing for influence and control over the future of Poland.  The story starts in October 1937 and ends in May 1938, with a one paragraph description outlining the future of the two lead characters.

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---

since he was a child, some of his greatest writing influences were David Morrell, Raymond E. Feist, Alex Kava, Daniel Silva, Dean Koontz, Lee Child, Michael Cordy, and Steven Pressfield.  His first novel, ""Maelstrom"", made the Ned Kelly Award long list in the Best Debut Novel category.",generation,high,substring,True,True,True,recursive,500.0,100.0,20,ollama,qwen3-embedding:4b,2560,hybrid,5,5,1817,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8252735137939453
naive,recursive,qwen3.5:0.8b,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli,Bacoli,1.0,True,5.0,5.0,5.0,5.0,2447.5192000027164,5.0,5.0,5.0,5.0,1264.0717000031143,5.0,686.0382000013487,3711.590900005831,4397.62910000718,"---

## Fusaro Lake
Lake Fusaro (Italian: ""Lago di Fusaro"") is a lake of the Campania region that is situated west of Naples, Italy, in the territory of the community of Bacoli.  It is about 0.5 mi from Baia, and about 1 mi south of the acropolis of Cumae.  It is separated from the sea by a narrow coastal strip, it is a very unusual ecosystem of great interest, characterized by a variety of vegetation which is specific to the region.

---

Baiae (Italian: ""Baia"" ; Neapolitan: ""Baia"" ) was an ancient Roman town situated on the northwest shore of the Gulf of Naples, and now in the ""comune"" of Bacoli.  It was a fashionable resort for centuries in antiquity, particularly towards the end of the Roman Republic, when it was reckoned as superior to Pompeii, Herculaneum, and Capri by the super-rich who built luxurious villas here.  It was notorious for its hedonistic offerings and the attendant rumours of corruption and scandal.  It later

---

## Stabiae
Stabiae was an ancient Roman town near the modern town of Castellammare di Stabia and approximately 4.5 km southwest of Pompeii, and which became famous for the magnificent Roman villas found there in recent times.  The beautiful objects and frescoes taken from these villas were often sold and distributed, while many can be found in the National Archaeological Museum of Naples.

---

Camulodunum ( or ; Latin: ' ), the Ancient Roman name for what is now Colchester in Essex, was an important town in Roman Britain, and the first capital of the province.  It is claimed to be the oldest town in Britain.  Originally the site of the Brythonic-Celtic oppidum of Camulodunon (meaning """"The Stronghold of Camulos""""), capital of the Trinovantes and later the Catuvellauni tribes, it was first mentioned by name on coinage minted by the chieftain Tasciovanus sometime between 20 and 10 BC.

---

## Sicilibba
Sicilibba was an ancient Roman town of the Roman province of proconsular Africa.  The ancient town is tentatively identifiable with the ruins at Alaouine (or Alaouenine) in today's Tunisia.

---

## Arsennaria
Arsennaria was an ancient Roman town of the Roman province of Mauritania Cesariense in North Africa, and an ancient episcopal see of the Roman Catholic Church.",none,,substring,True,True,True,recursive,500.0,100.0,18,ollama,qwen3-embedding:4b,2560,hybrid,5,5,2235,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.000000238418579
naive,recursive,qwen3.5:0.8b,the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,Lake Geneva,1.0,True,5.0,5.0,5.0,5.0,1699.5782000012696,5.0,5.0,5.0,5.0,1213.3649000024889,5.0,781.5668000039295,2912.9431000037584,3694.509900007688,"---

## Lausanne
Lausanne ( , ] , German: ""Lausanne"" , and also ""Lausannen"" Italian: ""Losanna"" , Romansh: ""Losanna"" ) is a city in the French-speaking part of Switzerland, and the capital and biggest city of the canton of Vaud.  The city is situated on the shores of Lake Geneva (French: ""Lac Léman"" , or simply ""Le Léman"").  It faces the French town of Évian-les-Bains, with the Jura Mountains to its north-west.  Lausanne is located 62 km northeast of Geneva.

---

---

## Belgium in the Eurovision Song Contest 1989
Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May.  Ingeborg was the winner of the Belgian national final for the contest, held in Brussels on 18 March.

---

The Eurovision Song Contest 2005 was the 50th annual Eurovision Song Contest.  The contest took place at the Palace of Sports in Kiev, Ukraine, following Ruslana's win in the 2004 Contest with the song ""Wild Dances"".  The contest consisted of two shows: the semi-final and final, which took place on 19 and 21 May 2005, respectively.  The shows were hosted by Maria Efrosinina and Pavlo Shylko.  Thirty-nine countries participated, including the débuts of Bulgaria and Moldova and the return of

The Eurovision Song Contest 2003 was the 48th annual Eurovision Song Contest.  The contest took place in Riga, Latvia on 24 May 2003, following Marie N's win in the 2002 contest with the song ""I Wanna"".  It was the first win and hosting of the competition for Latvia with only their third participation after debuting at the 2000 contest.  Latvijas Televīzija (LTV) chose the Skonto Hall as the venue after conducting a bidding process among several cities and venues in Latvia.  The hosts for the

The Eurovision Song Contest 2017 was the 62nd edition of the Eurovision Song Contest.  It took place in the International Exhibition Centre in Kiev, Ukraine, following Ukraine's victory at the 2016 contest in Stockholm with the song ""1944"", written and performed by Jamala.  This was the second time the contest took place in Kiev, after 2005 , as well as the fourth Eurovision event, after the Junior Eurovision Song Contest in 2009 and 2013 .  The contest consisted of two semi-finals on 9 and 11",none,,substring,True,True,True,recursive,500.0,100.0,33,ollama,qwen3-embedding:4b,2560,hybrid,5,5,2278,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.0
naive,recursive,qwen3.5:0.8b,"The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring which American actor, called ""The King of Cool""?","Terence Steven ""Steve"" McQueen",Steve McQueen,0.3333333333333333,False,5.0,5.0,5.0,5.0,2190.3361000004224,5.0,5.0,5.0,5.0,1370.4331999979331,5.0,688.2145999989007,3560.769299998356,4248.983899997256,"---

## The Great Escape (film)
The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring Steve McQueen, James Garner, and Richard Attenborough, filmed in Panavision.

---

The Great Escape is an insider's account by Australian writer Paul Brickhill of the 1944 mass escape from the German prisoner of war camp Stalag Luft III for British and Commonwealth airmen.  As a prisoner in the camp, he participated in the escape plan but was debarred from the actual escape 'along with three or four others on grounds of claustrophobia'.  The introduction to the book is written by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The

by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The Great Escape"".

Terence Steven ""Steve"" McQueen (March 24, 1930 – November 7, 1980) was an American actor.  Called ""The King of Cool"", his ""anti-hero"" persona developed at the height of the counterculture of the 1960s and made him a top box-office draw of the 1960s and 1970s.  McQueen received an Academy Award nomination for his role in ""The Sand Pebbles"".  His other popular films include ""The Cincinnati Kid"", ""The Thomas Crown Affair"", ""Bullitt"", ""The Getaway"", and ""Papillon"", as well as the all-star ensemble

## Angler POW escape
In April 1941, inmates at the Angler POW Camp near Neys Provincial Park on the north shore of Lake Superior planned the largest escape from a Canadian POW camp during World War II.  The escape was the largest of its kind in Ontario, Canada.

---",generation,high,substring,True,True,True,recursive,500.0,100.0,16,ollama,qwen3-embedding:4b,2560,hybrid,5,5,1663,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.884812593460083
naive,recursive,qwen3.5:0.8b,What is the title of Jung Ji-hoon's first single from his third album? ,"""It's Raining""","Based on the text provided, the title of Jung Ji-hoon's first single from his third album is ""Carolina"".",0.0,False,1.0,1.0,5.0,2.333333333333333,2786.525900002744,1.0,1.0,4.0,2.0,1416.2499000012758,2.166666666666667,888.6289000001852,4202.775800004019,5091.404700004205,"---

## Rain (entertainer)
Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.

---

in 1983 on the compilation album Catching Up With Mezzoforte which also included 7 songs from their second album, ""Í Hakanum/Octopus"" and peaked at #95 on the UK Album Chart.  Even though the third album’s title track was translated as ""Surprise"", the album is sometimes referred to in English as ""Dreamland"", which is the only song from the album released on a single, thus it can’t be confused with their fourth album, titled ""Surprise Surprise"" which was an international success, peaking at #23

---

## It's Raining (Rain song)
""It's Raining"" is a Korean language song, and the first single from the third album, by Korean R&B singer, Rain.

---

top 20 hits ""Two Pink Lines"" and ""Guys Like Me"" and a #51 chart entry with the title track.  Church released ""His Kind of Money (My Kind of Love)"", which peaked at #46 on the charts but did not appear on an album.  His second release ""Carolina"", included his first top 10 hits with ""Love Your Love the Most"" and ""Hell on the Heart"", which both peaked at #10.  The album's last single, ""Smoke a Little Smoke"", peaked at #16.  His third album, ""Chief"", was also his first for EMI Records' Nashville

Spark is the third album from Norwegian singer-songwriter Marit Larsen, and was released on November 18, 2011.  The information was made available via Marit Larsen's Tumblr page.  On 31 July 2011 Marit Larsen began to post information about her third album on her Tumblr.  On 7 October 2011 she announced the name of the album and track list.  The first single, ""Coming Home"" had premiered on NRK P3 and on her Facebook page on 15 October.  The album produced two singles; ""Coming Home"" and ""Don't",generation,high,substring,True,True,True,recursive,500.0,100.0,32,ollama,qwen3-embedding:4b,2560,hybrid,5,5,1840,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8571248054504395
naive,recursive,qwen3.5:0.8b,"Which magazine is published by with an independent volunteer editor, Doctor Who Magazine or National Contest Journal?",National Contest Journal,National Contest Journal,1.0,True,5.0,5.0,5.0,5.0,1582.2832999983802,5.0,5.0,5.0,5.0,1416.9955000033951,5.0,723.7276999949245,2999.2788000017754,3723.0064999967,"---

## Doctor Who Magazine
Doctor Who Magazine (abbreviated as DWM) is a magazine devoted to the long-running British science fiction television series ""Doctor Who"".  Its current editor is Marcus Hearn, who took over from the magazine's longest-serving editor, Tom Spilsbury, in July 2017.  It is currently recognised by ""Guinness World Records"" as the longest running TV tie-in magazine.

---

## National Contest Journal
The National Contest Journal (also referred to by the acronym NCJ) is a bimonthly magazine published by the American Radio Relay League, with an independent volunteer editor.  The magazine covers topics related to amateur radio contesting.  The magazine is published in English and draws its subscription base primarily from the United States of America and Canada.

---

---

## Rube Goldberg Machine Contest
The Rube Goldberg Machine Contest is a contest in which college or high school students build devices to complete a simple task in a minimum of twenty steps in the style of American cartoonist Rube Goldberg.  Local contests are held throughout the United States, and local winners are eligible to compete in the national contest.

---

## NARAM
NARAM is the Annual Meet of the National Association of Rocketry (NAR).  It is the national contest culminating the rocket contest year, and also includes fun, or ""sport,"" flying of model rockets for those who don't wish to compete.  The NAR is the governing body for the sport/hobby of model rocketry in the United States.  NARAM is traditionally held the first week of August.

---

professor at Case Western Reserve University.  It grew from 129 students in 1974 to over 500,000 students in 48 states in 1991, and 700,000 students and 40,000 teachers in 2001.  Today more than half a million students enter through local contests.  They construct entries as an individual or a group in one of five categories: Documentary, Exhibit, Paper, Performance or Website.  Students then compete in a series of regional contests with top entries advancing to state/affiliate contests.  The",none,,substring,True,True,True,recursive,500.0,100.0,23,ollama,qwen3-embedding:4b,2560,hybrid,5,5,2061,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.000000238418579
naive,recursive,qwen3.5:0.8b,Who resigned as the Welsh Assembly Member for the North Wales region to represent Eddisbury in the House of Commons in the UK Parliament in 2015?,Antoinette Sandbach,Altaf Hussain,0.0,False,1.0,1.0,5.0,2.333333333333333,2435.972799998126,1.0,2.0,5.0,2.6666666666666665,1636.1039000039457,2.5,701.9031000018003,4072.076700002072,4773.979800003872,"---

## Antoinette Sandbach
Antoinette Geraldine Mackeson-Sandbach (born 15 February 1969), known in politics as Antoinette Sandbach, is a Conservative Party politician who was elected as the Member of Parliament for Eddisbury at the 2015 general election.  The following day, 8 May 2015, she resigned as the Welsh Assembly Member for the North Wales region.  having been elected as a North Wales regional Assembly Member at the May 2011 election.

---

## Eddisbury (UK Parliament constituency)
Eddisbury is a constituency in Cheshire represented in the House of Commons of the UK Parliament since 2015 by Antoinette Sandbach, a Conservative.

---

to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the Year"" by the BBC Wales am.pm programme.  He resigned from the Welsh Assembly on 20 June 2013.  In 2017 he unsuccessfully sought to return to the House of Commons for his former constituency.

---

## Altaf Hussain (Welsh politician)
Dr Altaf Hussain was a Welsh Conservative regional Assembly Member in the National Assembly for Wales from 2015 to 2016.  He is a retired consultant orthopaedic surgeon.  Prior to dissolution of the fourth assembly, he sat on the Health Committee at the National Assembly for Wales, and was Shadow Minister for Social Services.  He was defeated in the 2016 Welsh Assembly elections.  In 2017 he was elected to Bridgend County Borough Council.

---

## Arfon (UK Parliament constituency)",generation,high,substring,True,True,True,recursive,500.0,100.0,18,ollama,qwen3-embedding:4b,2560,hybrid,5,5,1465,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8340486288070679
naive,recursive,qwen3.5:0.8b,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington, the team appeared in the 2005 NCAA tournament, losing to which female basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I?",Texas Tech Lady Raiders basketball,"Texas–Arlington Mavericks men's basketball: The Texas–Arlington Mavericks men's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference. Home games are played at College Park Center, located on the University of Texas at Arlington's campus in Arlington. The team appeared in the 2008 NCAA tournament, losing against the **#1 seed Memphis** in the first round, although Memphis was later forced to vacate the win due to infractions committed by the program.

Therefore, the female basketball team represented by Texas Tech University that competes in the Big 12 Conference of NCAA Division I is the **Texas Tech Lady Raiders**.",0.1095890410958904,False,2.0,2.0,2.0,2.0,2733.2457000011345,5.0,5.0,3.0,4.333333333333333,2159.988899999007,3.1666666666666665,1448.3980000004522,4893.234600000142,6341.632600000594,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team appeared in the 2005 NCAA tournament, losing to #4 seed Texas Tech in the first round, 69–49, and the 2007 NCAA tournament, dropping their first round game to #4 seed Texas A&M 58–50.

## Texas–Arlington Mavericks men's basketball
The Texas–Arlington Mavericks men's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on the University of Texas at Arlington's campus in Arlington.  The team appeared in the 2008 NCAA tournament, losing against the #1 seed Memphis in the first round, although Memphis was later forced to vacate the win due to infractions committed by the program.

The Texas–Arlington Mavericks volleyball team, historically one of the most nationally prominent teams on campus, is an NCAA Division I college volleyball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team has appeared in eight AIAW National Tournaments, eight NCAA Tournaments and one National Invitational Volleyball Championship Tournament, collecting 12 regular seasons titles

---

## Texas Tech Lady Raiders basketball
The Texas Tech Lady Raiders basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I.  Candace Whitaker, a former player for the Lady Raiders, was named head coach in 2013.  In her inaugural season in 2013–14, the team finished winless in league play with a conference mark of 0–18.

---

The Texas Tech Red Raiders Basketball team represents Texas Tech University in Lubbock, Texas, United States in NCAA Division I men's basketball competition (the school's women's basketball team is known as the ""Lady Raiders"".)  Until April 2016, the team was coached by Tubby Smith, who guided the team to the 2016 NCAA Tournament appearance, its first appearance in the event since 2007.  With Smith's departure to coach the Memphis Tigers, the school hired former Arkansas-Little Rock coach Chris",generation,high,substring,True,True,True,recursive,500.0,100.0,35,ollama,qwen3-embedding:4b,2560,hybrid,5,5,2380,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8482477068901062
naive,recursive,qwen3.5:0.8b,What is the middle name of the daughter of Paul M. Fleiss?,Lynne,"Based on the provided text, there is no mention of a daughter named Paul M. Fleiss, nor does the document contain any information regarding his medical views, his daughter, or a surname change to ""Ryman."" The only mention of ""Ryman"" is in a sentence about a character's birth certificate discrepancy, but that character (Milhouse Van Houten) is not the daughter of Paul M. Fleiss.

The text contains a **clerical error** (likely a transcription error from the provided excerpt) which is **never explained or resolved** in this context. Consequently, the provided context does not allow us to determine the middle name of the daughter of Paul M. Fleiss.",0.0,False,2.0,4.0,2.0,2.6666666666666665,3319.9571000004653,2.0,3.0,3.0,2.6666666666666665,2025.055499994778,2.6666666666666665,1426.9279000000097,5345.012599995243,6771.940499995253,"Paul Murray Fleiss (September 8, 1933 – July 19, 2014) was an American pediatrician and author known for his unconventional medical views.  Fleiss was a popular and sought-after pediatrician in the Greater Los Angeles area, both among poor and middle-class patients living near his Los Feliz office and among Southern California celebrities.  Fleiss was a breastfeeding and anti-circumcision advocate.  He recommended but did not insist upon childhood vaccinations, and stated he could be ""convinced

## Paul M. Fleiss

---

## Heidi Fleiss
Heidi Lynne Fleiss (born December 30, 1965) is an American former madam, and also a columnist and television personality regularly featured in the 1990s in American media.  She ran a prostitution ring based in Los Angeles, California, and is often referred to as the ""Hollywood Madam"".

---

## Milhouse Van Houten
Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.  Later in the series, it is revealed that Milhouse's middle name is ""Mussolini.""

---

given the middle name ""Ryman"" but a clerical error on his birth certificate resulted in his middle name being recorded as ""Lyman.""",generation,high,substring,True,True,True,recursive,500.0,100.0,22,ollama,qwen3-embedding:4b,2560,hybrid,5,5,1310,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8105192184448242
