strategy,model,question,gold_answer,rag_answer,gold_f1,gold_exact_match,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_haiku_4_5_20251001_scorer_latency_ms,openai_gpt_5_4_mini_faithfulness,openai_gpt_5_4_mini_relevance,openai_gpt_5_4_mini_conciseness,openai_gpt_5_4_mini_quality,openai_gpt_5_4_mini_scorer_latency_ms,consensus_quality,strategy_latency_ms,scorer_latency_ms_total,total_latency_ms,context_sent_to_llm,failure_stage,failure_stage_confidence,failure_stage_method,gold_in_chunks,gold_in_retrieved,gold_in_context,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,llm_model,llm_quantization,dataset_name,dataset_sample_seed
naive,qwen3.5:0.8b,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,"Yes, both Tim McIlrath and Spike Slawson are American punk rock musicians, even though Tim McIlrath is the lead vocalist for the Rise Against band, whereas Spike Slawson is a member of various bands such as Me First and the Gimme Gimmes.",0.0,True,5.0,5.0,4.0,4.666666666666667,2421.034899998631,5.0,5.0,4.0,4.666666666666667,1611.5873999951873,4.666666666666667,3092.494500000612,4032.622299993818,7125.11679999443,"---

## Spike Slawson
Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.

---

---

## Tim McIlrath
Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.  He is the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against.  McIlrath is known to support animal rights and actively promotes PETA with his band.  He is also straight edge.

---

The Dwarves Must Die is the 2004 release by the American punk band Dwarves.  It is the band's first release on the ""Sympathy for the Record Industry"" label.  There are several cameos, including Dexter Holland from The Offspring, Nash Kato from Urge Overkill, desert rock icon Nick Oliveri, Josh Freese from The Vandals, Spike Slawson from Me First and the Gimme Gimmes, gangster rapper San Quinn, DJ Marz, and even the original Space Ghost himself, Gary Owens.  The rather freeform departure from

""Give It All"" is a song by American rock band Rise Against.  It was originally recorded for the 2004 compilation album ""Rock Against Bush, Vol.  1"", while a slightly altered version appeared on the band's third studio album ""Siren Song of the Counter Culture"" later that year.  It is a hardcore punk song, with lyrics that are about ""being a punk rocker in today's world,"" according to lead vocalist Tim McIlrath.  It was released as ""Siren Song of the Counter Culture""'s first single in October

---

## The Honor System (band)
The Honor System was an American punk rock band from Chicago, Illinois, formed in 1999 by Dan Hanaway and Rob DePaola, after the breakup of their previous band The Broadways.  The band briefly featured future Rise Against frontman Tim McIlrath as a bassist.  They broke up in 2004, leaving behind two studio albums and three EPs.

---",none,n/a,substring,False,False,False,recursive,500,100,21,ollama,mxbai-embed-large,1024,hybrid,5,5,1889,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,Alan Furst and Lee Child are what?,is a British author,Alan Furst and Lee Child are **authors**.,0.0,False,5.0,5.0,5.0,5.0,1898.9781999989646,5.0,5.0,5.0,5.0,1280.82820000418,5.0,307.8345000030822,3179.8064000031445,3487.6409000062267,"---

## Alan Furst
Alan Furst (born February 20, 1941) is an American author of historical spy novels. Furst has been called ""an heir to the tradition of Eric Ambler and Graham Greene,"" whom he cites along with Joseph Roth and Arthur Koestler as important influences.  Most of his novels since 1988 have been set just prior to or during the Second World War and he is noted for his successful evocations of Eastern European peoples and places during the period from 1933 to 1944.

## Kingdom of Shadows
Kingdom of Shadows (2000) is a novel by Alan Furst.  It won the 2001 Hammett Prize.

---

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---

## The World at Night
The World at Night (1996) is a novel by Alan Furst.

---

---

## Lee Child
James D. ""Jim"" Grant (born 29 October 1954), primarily known by his pen name Lee Child, is a British author who writes thriller novels, and is most well-known for his ""Jack Reacher"" novel series.  The books follow the adventures of a former American military policeman, Jack Reacher, who wanders the United States.  His first novel, ""Killing Floor"", won both the Anthony Award, and the Barry Award for Best First Novel.

---

---

## The Spies of Warsaw
The Spies of Warsaw is a 2008 spy novel by Alan Furst about espionage involving the major nations shortly before World War II competing for influence and control over the future of Poland.  The story starts in October 1937 and ends in May 1938, with a one paragraph description outlining the future of the two lead characters.

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---",generation,high,substring,True,True,True,recursive,500,100,20,ollama,mxbai-embed-large,1024,hybrid,5,5,1641,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli,Bacol,0.0,False,2.0,4.0,5.0,3.6666666666666665,2772.9552000018884,2.0,4.0,5.0,3.6666666666666665,1347.178600000916,3.6666666666666665,290.5574999967939,4120.1338000028045,4410.691299999598,"---

## Fusaro Lake
Lake Fusaro (Italian: ""Lago di Fusaro"") is a lake of the Campania region that is situated west of Naples, Italy, in the territory of the community of Bacoli.  It is about 0.5 mi from Baia, and about 1 mi south of the acropolis of Cumae.  It is separated from the sea by a narrow coastal strip, it is a very unusual ecosystem of great interest, characterized by a variety of vegetation which is specific to the region.

---

Baiae (Italian: ""Baia"" ; Neapolitan: ""Baia"" ) was an ancient Roman town situated on the northwest shore of the Gulf of Naples, and now in the ""comune"" of Bacoli.  It was a fashionable resort for centuries in antiquity, particularly towards the end of the Roman Republic, when it was reckoned as superior to Pompeii, Herculaneum, and Capri by the super-rich who built luxurious villas here.  It was notorious for its hedonistic offerings and the attendant rumours of corruption and scandal.  It later

---

## Stabiae
Stabiae was an ancient Roman town near the modern town of Castellammare di Stabia and approximately 4.5 km southwest of Pompeii, and which became famous for the magnificent Roman villas found there in recent times.  The beautiful objects and frescoes taken from these villas were often sold and distributed, while many can be found in the National Archaeological Museum of Naples.

---

---

## Miróbriga
Miróbriga (""Mirobriga Celticorum"") is an ancient Roman town located near the village and civil parish of Santiago do Cacém, in the municipality of the same name in the south-west of Portugal.  Archeology revealed a that the town occupied the site of an ancient Iron Age settlement that existed since the 9th century B.C.

---

Camulodunum ( or ; Latin: ' ), the Ancient Roman name for what is now Colchester in Essex, was an important town in Roman Britain, and the first capital of the province.  It is claimed to be the oldest town in Britain.  Originally the site of the Brythonic-Celtic oppidum of Camulodunon (meaning """"The Stronghold of Camulos""""), capital of the Trinovantes and later the Catuvellauni tribes, it was first mentioned by name on coinage minted by the chieftain Tasciovanus sometime between 20 and 10 BC.",generation,high,substring,True,True,True,recursive,500,100,18,ollama,mxbai-embed-large,1024,hybrid,5,5,2191,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,Lake Geneva,1.0,True,5.0,5.0,5.0,5.0,2088.0344999968656,5.0,5.0,5.0,5.0,1310.2938000010909,5.0,232.96479999407893,3398.3282999979565,3631.2930999920354,"---

## Belgium in the Eurovision Song Contest 1989
Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May.  Ingeborg was the winner of the Belgian national final for the contest, held in Brussels on 18 March.

---

---

## Lausanne
Lausanne ( , ] , German: ""Lausanne"" , and also ""Lausannen"" Italian: ""Losanna"" , Romansh: ""Losanna"" ) is a city in the French-speaking part of Switzerland, and the capital and biggest city of the canton of Vaud.  The city is situated on the shores of Lake Geneva (French: ""Lac Léman"" , or simply ""Le Léman"").  It faces the French town of Évian-les-Bains, with the Jura Mountains to its north-west.  Lausanne is located 62 km northeast of Geneva.

---

The Eurovision Song Contest 2017 was the 62nd edition of the Eurovision Song Contest.  It took place in the International Exhibition Centre in Kiev, Ukraine, following Ukraine's victory at the 2016 contest in Stockholm with the song ""1944"", written and performed by Jamala.  This was the second time the contest took place in Kiev, after 2005 , as well as the fourth Eurovision event, after the Junior Eurovision Song Contest in 2009 and 2013 .  The contest consisted of two semi-finals on 9 and 11

The Eurovision Song Contest 2015 was the 60th edition of the annual Eurovision Song Contest musical event.  The contest took place in Vienna, Austria, following Austrian Conchita Wurst's victory in the 2014 edition.  This was the second time that Austria hosted the contest; the 1967 edition being the first (also hosted in Vienna).  The 2015 contest consisted of two semi-finals, which took place on 3-4 October, and a final, held on 5 October 2015.  The shows were presented by Mirjam

The Eurovision Song Contest 2003 was the 48th annual Eurovision Song Contest.  The contest took place in Riga, Latvia on 24 May 2003, following Marie N's win in the 2002 contest with the song ""I Wanna"".  It was the first win and hosting of the competition for Latvia with only their third participation after debuting at the 2000 contest.  Latvijas Televīzija (LTV) chose the Skonto Hall as the venue after conducting a bidding process among several cities and venues in Latvia.  The hosts for the",none,n/a,substring,True,True,True,recursive,500,100,33,ollama,mxbai-embed-large,1024,hybrid,5,5,2270,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,"The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring which American actor, called ""The King of Cool""?","Terence Steven ""Steve"" McQueen","Based on the context provided, the American actor called ""The King of Cool"" who starred in the 1963 film *The Great Escape* is **Steve McQueen**.

The text explicitly states: ""The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring Steve McQueen, James Garner, and Richard Attenborough.""",0.0,False,5.0,5.0,4.0,4.666666666666667,2489.208900005906,5.0,5.0,4.0,4.666666666666667,1377.1321999956854,4.666666666666667,710.9409999975469,3866.3411000015913,4577.282099999138,"---

## The Great Escape (film)
The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring Steve McQueen, James Garner, and Richard Attenborough, filmed in Panavision.

---

Terence Steven ""Steve"" McQueen (March 24, 1930 – November 7, 1980) was an American actor.  Called ""The King of Cool"", his ""anti-hero"" persona developed at the height of the counterculture of the 1960s and made him a top box-office draw of the 1960s and 1970s.  McQueen received an Academy Award nomination for his role in ""The Sand Pebbles"".  His other popular films include ""The Cincinnati Kid"", ""The Thomas Crown Affair"", ""Bullitt"", ""The Getaway"", and ""Papillon"", as well as the all-star ensemble

The Great Escape is an insider's account by Australian writer Paul Brickhill of the 1944 mass escape from the German prisoner of war camp Stalag Luft III for British and Commonwealth airmen.  As a prisoner in the camp, he participated in the escape plan but was debarred from the actual escape 'along with three or four others on grounds of claustrophobia'.  The introduction to the book is written by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The

by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The Great Escape"".

## Angler POW escape
In April 1941, inmates at the Angler POW Camp near Neys Provincial Park on the north shore of Lake Superior planned the largest escape from a Canadian POW camp during World War II.  The escape was the largest of its kind in Ontario, Canada.

---",generation,high,substring,True,True,True,recursive,500,100,16,ollama,mxbai-embed-large,1024,hybrid,5,5,1663,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,What is the title of Jung Ji-hoon's first single from his third album? ,"""It's Raining""","The title of Jung Ji-hoon's first single from his third album is **""It's Raining""**.",0.0,True,5.0,5.0,5.0,5.0,1893.041399998765,5.0,5.0,5.0,5.0,1522.1001999962027,5.0,326.191199994355,3415.1415999949677,3741.3327999893227,"---

## Rain (entertainer)
Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.

---

---

## Back to the World (song)
""Back to the World"" is the first single from R&B singer Tevin Campbell's third album of the same name.  Written by Jamey Jaz, Rahsaan Patterson and Mikelyn Roderick, it was the only single from his third album to garner decent success on the charts, peaking at #16 on the R&B Charts.  It was also the only single from the album to reach the Hot 100, peaking at #47.  This is Tevin's 10th and last single to date to reach the top 20 on the R&B Charts.

---

## It's Raining (Rain song)
""It's Raining"" is a Korean language song, and the first single from the third album, by Korean R&B singer, Rain.

---

Spark is the third album from Norwegian singer-songwriter Marit Larsen, and was released on November 18, 2011.  The information was made available via Marit Larsen's Tumblr page.  On 31 July 2011 Marit Larsen began to post information about her third album on her Tumblr.  On 7 October 2011 she announced the name of the album and track list.  The first single, ""Coming Home"" had premiered on NRK P3 and on her Facebook page on 15 October.  The album produced two singles; ""Coming Home"" and ""Don't

""Shining Down"" is a song by Lupe Fiasco.  It was intended to be the first single of ""Everywhere"", the first of three CDs of Lupe Fiasco's triple album, ""Lupe Fiasco's LupE.N.D."" , but because of its release being withheld, there was speculation circulating that it may be the first single of his third album, ""Lasers"".  The song, however, was only included in the iTunes deluxe version of the album and was considered a promotional single.  The song is produced by Soundtrakk and features Matthew",none,n/a,substring,True,True,True,recursive,500,100,32,ollama,mxbai-embed-large,1024,hybrid,5,5,1825,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,"Which magazine is published by with an independent volunteer editor, Doctor Who Magazine or National Contest Journal?",National Contest Journal,National Contest Journal,1.0,True,nan,nan,nan,nan,73959.26599999802,nan,nan,nan,nan,43786.3961999974,nan,4400.065900001209,117745.66219999542,122145.72809999663,"---

## Doctor Who Magazine
Doctor Who Magazine (abbreviated as DWM) is a magazine devoted to the long-running British science fiction television series ""Doctor Who"".  Its current editor is Marcus Hearn, who took over from the magazine's longest-serving editor, Tom Spilsbury, in July 2017.  It is currently recognised by ""Guinness World Records"" as the longest running TV tie-in magazine.

---

## National Contest Journal
The National Contest Journal (also referred to by the acronym NCJ) is a bimonthly magazine published by the American Radio Relay League, with an independent volunteer editor.  The magazine covers topics related to amateur radio contesting.  The magazine is published in English and draws its subscription base primarily from the United States of America and Canada.

---

---

## NARAM
NARAM is the Annual Meet of the National Association of Rocketry (NAR).  It is the national contest culminating the rocket contest year, and also includes fun, or ""sport,"" flying of model rockets for those who don't wish to compete.  The NAR is the governing body for the sport/hobby of model rocketry in the United States.  NARAM is traditionally held the first week of August.

---

---

## Rube Goldberg Machine Contest
The Rube Goldberg Machine Contest is a contest in which college or high school students build devices to complete a simple task in a minimum of twenty steps in the style of American cartoonist Rube Goldberg.  Local contests are held throughout the United States, and local winners are eligible to compete in the national contest.

professor at Case Western Reserve University.  It grew from 129 students in 1974 to over 500,000 students in 48 states in 1991, and 700,000 students and 40,000 teachers in 2001.  Today more than half a million students enter through local contests.  They construct entries as an individual or a group in one of five categories: Documentary, Exhibit, Paper, Performance or Website.  Students then compete in a series of regional contests with top entries advancing to state/affiliate contests.  The",none,n/a,substring,True,True,True,recursive,500,100,23,ollama,mxbai-embed-large,1024,hybrid,5,5,2061,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,Who resigned as the Welsh Assembly Member for the North Wales region to represent Eddisbury in the House of Commons in the UK Parliament in 2015?,Antoinette Sandbach,"Based on the context provided, **Antoinette Sandbach** resigned as the Welsh Assembly Member for the North Wales region (and represented Eddisbury in the House of Commons) on 8 May 2015. This occurred after she was elected as a Member of Parliament for Eddisbury at the 2015 general election. While the text mentions a different politician named Jones resigned from the Welsh Assembly in 2013 and unsuccessfully sought to return to Parliament in 2017, it specifically identifies Sandbach as the figure who resigned from the Welsh Assembly specifically for the North Wales region and her constituency in 2015.

Answer: **Antoinette Sandbach**",0.03125,True,5.0,5.0,3.0,4.333333333333333,54420.99379999854,nan,nan,nan,nan,72582.57090000552,4.333333333333333,908.6582000018097,127003.56470000406,127912.22290000587,"---

## Antoinette Sandbach
Antoinette Geraldine Mackeson-Sandbach (born 15 February 1969), known in politics as Antoinette Sandbach, is a Conservative Party politician who was elected as the Member of Parliament for Eddisbury at the 2015 general election.  The following day, 8 May 2015, she resigned as the Welsh Assembly Member for the North Wales region.  having been elected as a North Wales regional Assembly Member at the May 2011 election.

---

## Eddisbury (UK Parliament constituency)
Eddisbury is a constituency in Cheshire represented in the House of Commons of the UK Parliament since 2015 by Antoinette Sandbach, a Conservative.

---

to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the Year"" by the BBC Wales am.pm programme.  He resigned from the Welsh Assembly on 20 June 2013.  In 2017 he unsuccessfully sought to return to the House of Commons for his former constituency.

Ieuan Wyn Jones (born 22 May 1949) is a Welsh politician who was the Deputy First Minister in the Welsh Assembly Government from 2007 to 2011.  He was the Member of the National Assembly for Wales for the Ynys Môn constituency from 1999 to 2013, and he was also leader of Plaid Cymru from 2000 to 2012.  Jones served as Member of Parliament for Ynys Môn constituency from 1987 to 2001, when he retired to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the

---

## Llyr Huws Gruffydd
Llŷr Huws Gruffydd, (born 25 September 1970) is a Welsh Plaid Cymru politician, and a Member of the Welsh Assembly for the North Wales region.

---",none,n/a,substring,True,True,True,recursive,500,100,18,ollama,mxbai-embed-large,1024,hybrid,5,5,1611,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington, the team appeared in the 2005 NCAA tournament, losing to which female basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I?",Texas Tech Lady Raiders basketball,Texas Tech Lady Raiders,0.888888888888889,False,nan,nan,nan,nan,28277.93859999656,nan,nan,nan,nan,38560.47569999646,nan,251.6819999946165,66838.41429999302,67090.09629998764,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team appeared in the 2005 NCAA tournament, losing to #4 seed Texas Tech in the first round, 69–49, and the 2007 NCAA tournament, dropping their first round game to #4 seed Texas A&M 58–50.

---

## Texas Tech Lady Raiders basketball
The Texas Tech Lady Raiders basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I.  Candace Whitaker, a former player for the Lady Raiders, was named head coach in 2013.  In her inaugural season in 2013–14, the team finished winless in league play with a conference mark of 0–18.

---

## Texas–Arlington Mavericks men's basketball
The Texas–Arlington Mavericks men's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on the University of Texas at Arlington's campus in Arlington.  The team appeared in the 2008 NCAA tournament, losing against the #1 seed Memphis in the first round, although Memphis was later forced to vacate the win due to infractions committed by the program.

The Texas–Arlington Mavericks volleyball team, historically one of the most nationally prominent teams on campus, is an NCAA Division I college volleyball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team has appeared in eight AIAW National Tournaments, eight NCAA Tournaments and one National Invitational Volleyball Championship Tournament, collecting 12 regular seasons titles

The Texas Tech Red Raiders Basketball team represents Texas Tech University in Lubbock, Texas, United States in NCAA Division I men's basketball competition (the school's women's basketball team is known as the ""Lady Raiders"".)  Until April 2016, the team was coached by Tubby Smith, who guided the team to the 2016 NCAA Tournament appearance, its first appearance in the event since 2007.  With Smith's departure to coach the Memphis Tigers, the school hired former Arkansas-Little Rock coach Chris",generation,high,substring,True,True,True,recursive,500,100,35,ollama,mxbai-embed-large,1024,hybrid,5,5,2380,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,qwen3.5:0.8b,What is the middle name of the daughter of Paul M. Fleiss?,Lynne,"Based on the context provided, there is **no mention** of a daughter named Heidi Fleiss or the middle name associated with her. The text describes Heidi Fleiss as a ""former madam"" and ""columnist and television personality"" with a prostitution ring in Los Angeles, but does not state her birth name, mother's maiden name, or if any of her children have a middle name.

However, looking at the context for **Paul M. Fleiss** (who died on July 19, 2014, and lived in Southern California in 1999/2000), it is possible that the question refers to an error in the text or a misunderstanding of the provided snippets.

But strictly answering using **only the provided context**, the text does not contain information regarding a middle name of a female child named Heidi Fleiss.

*Note: In reality, Heidi Fleiss had no children with her father Paul Fleiss. The context provided does not specify her daughter's middle name.*

**Answer:** The provided text does not mention the middle name of the daughter of Paul M. Fleiss.",0.0,False,nan,nan,nan,nan,43747.40229999588,nan,nan,nan,nan,39090.687299998535,nan,1292.9082999980892,82838.08959999442,84130.99789999251,"## Paul M. Fleiss

Paul Murray Fleiss (September 8, 1933 – July 19, 2014) was an American pediatrician and author known for his unconventional medical views.  Fleiss was a popular and sought-after pediatrician in the Greater Los Angeles area, both among poor and middle-class patients living near his Los Feliz office and among Southern California celebrities.  Fleiss was a breastfeeding and anti-circumcision advocate.  He recommended but did not insist upon childhood vaccinations, and stated he could be ""convinced

---

## Heidi Fleiss
Heidi Lynne Fleiss (born December 30, 1965) is an American former madam, and also a columnist and television personality regularly featured in the 1990s in American media.  She ran a prostitution ring based in Los Angeles, California, and is often referred to as the ""Hollywood Madam"".

---

## Milhouse Van Houten
Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.  Later in the series, it is revealed that Milhouse's middle name is ""Mussolini.""

---

---

## Latvian name
Latvian names, like in most European cultures, consist of two main elements: the given name (""vārds"") followed by family name (""uzvārds"").  During the Soviet occupation (1940 - 1991) the practice of giving a middle name was discouraged, but since the restoration of Independence Latvian legislation again allows giving of up to two given names and it has become more common to give a middle name to children.

---",generation,high,substring,True,True,True,recursive,500,100,22,ollama,mxbai-embed-large,1024,hybrid,5,5,1614,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
