strategy,model,question,gold_answer,rag_answer,gold_f1,gold_exact_match,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_haiku_4_5_20251001_scorer_latency_ms,openai_gpt_5_4_mini_faithfulness,openai_gpt_5_4_mini_relevance,openai_gpt_5_4_mini_conciseness,openai_gpt_5_4_mini_quality,openai_gpt_5_4_mini_scorer_latency_ms,consensus_quality,strategy_latency_ms,scorer_latency_ms_total,total_latency_ms,context_sent_to_llm,failure_stage,failure_stage_confidence,failure_stage_method,gold_in_chunks,gold_in_retrieved,gold_in_context,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,llm_model,llm_quantization,dataset_name,dataset_sample_seed,gold_bertscore
naive,qwen3.5:0.8b,The first person to interpret Relational quantum mechanics has worked in what countries? ,"Italy, the United States and since 2000, in France","The provided text does not contain information regarding the locations or countries in which Carlo Rovelli worked. It only states that he formulated the theory in 1994. Therefore, based strictly on the context provided, one cannot determine where his first person to interpret Relational quantum mechanics worked.",0.1176470588235294,False,5.0,4.0,4.0,4.333333333333333,2515.92669999809,2.0,2.0,4.0,2.6666666666666665,2356.6111999971326,3.5,422.8548999963096,4872.537899995223,5295.392799991532,"Relational quantum mechanics (RQM) is an interpretation of quantum mechanics which treats the state of a quantum system as being observer-dependent, that is, the state ""is"" the relation between the observer and the system.  This interpretation was first delineated by Carlo Rovelli in a 1994 preprint, and has since been expanded upon by a number of theorists.  It is inspired by the key idea behind special relativity, that the details of an observation depend on the reference frame of the

## Relational quantum mechanics

## Relational approach to quantum physics

the paradoxes of quantum physics could be overcome by developing a relational approach, which was needed at one time to solve the paradoxes of relativistic physics of space and time.  It is also hoped that this entry will serve as a complement to Rovelli’s relational quantum mechanics (RQM).

The relational approach to quantum physics is an alternative approach to and interpretation of quantum mechanics.  It asserts that the physical world can only be studied accurately in terms of ""relationships"" between systems, as all experimentally verifiable facts about the world result explicitly from interactions (such as the interaction between a light field and a detector).  According to the relational approach, the assumption that objects possess absolute properties (such as an absolute",retrieval,high,substring,True,False,False,recursive,500,100,42,ollama,mxbai-embed-large,1024,hybrid,5,5,1359,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8375566601753235
naive,qwen3.5:0.8b,"Jacopo Bertucci, was an Italian painter of the Renaissance period, he painted for the ""Basilica of San Vitale"" is a church in Ravenna, in which country?",Italy,Italy,1.0,True,5.0,5.0,5.0,5.0,1841.8209999945248,5.0,5.0,5.0,5.0,1043.0575000063982,5.0,281.37129999959143,2884.878500000923,3166.2498000005144,"---

## Jacopo Bertucci
Jacopo Bertucci (active first half 16th century) was an Italian painter of the Renaissance period.  He is also known as Jacopone da Faenza.  He was born in Faenza, and worked under Raphael in Rome.  One of his pupils was Taddeo Zuccari.  He was active c. 1530 and painted in the manner of Raphael.  He painted for the church of San Vitale at Ravenna.  He died at the age of 20.

---

## Basilica of San Vitale
The ""Basilica of San Vitale"" is a church in Ravenna, Italy, and one of the most important examples of early Christian Byzantine art and architecture in Europe.  The Roman Catholic Church has designated the building a ""basilica"", the honorific title bestowed on church buildings of exceptional historic and ecclesial importance, although of course it is not of architectural basilica form.  It is one of eight Ravenna structures inscribed on the UNESCO World Heritage List.

Giovanni Battista Barbiani (1593–1650) was an Italian painter of the Baroque period, active in Ravenna.  Among his works are altarpieces of ""St. Andrew"" and ""St. Joseph"" for the Franciscan church.  For the dome of the chapel of the ""Madonna del Sudore"" in the Cathedral of Ravenna, he painted a fresco of the ""Assumption of the Virgin"".  He painted a ' St. Peter' in Sant' Agata in Ravenna.  He painted in the style of Bartolomeo Cesi.  Along with Cesare Pronti, he painted in the church of San

---

## San Vitale, Rome
The Basilica of Sts.  Vitalis, Valeris, Gervase and Protase (Italian: ""Basilica di Santi Vitale e Compagni Martiri in Fovea"" , Latin: ""Ss.  Vitalis, Valeriae, Gervasii et Protasii"" ) is a titular minor basilica church in Rome.  The Roman Catholic church is commonly named Basilica di San Vitale.  The Cardinal Priest of the ""Titulus S. Vitalis"" is Adam Maida.

---

Giovanni Domenico Cappellino (1580–1651) was an Italian painter of the Renaissance period, active mainly in his natal city of Genoa.  He was the pupil of the painter Giovanni Battista Paggi.  At age 22, he painted a ""Saint Sebastian"" for the church of Santa Sabina.  He contributed a canvas to the Oratory of San Giacomo della Marina.  In Genoa, he painted a ""Death of St. Francis"" for the church of San Niccolo, and a ""St. Francesca Romana"" for the church of San Stefano.",none,,substring,True,True,True,recursive,500,100,19,ollama,mxbai-embed-large,1024,hybrid,5,5,2267,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.0
naive,qwen3.5:0.8b,"The Stratton film has one cast member who is which English actor born on Spetember 22, 1987?",Tom Felton,"Thomas Andrew Felton is the English actor born on September 22, 1987, who plays the character John Stratton in the film *Stratton*.",0.0909090909090909,False,2.0,4.0,5.0,3.6666666666666665,2320.935499999905,5.0,5.0,5.0,5.0,2237.8997999985586,4.333333333333333,434.5533999949112,4558.835299998464,4993.388699993375,"---

## Stratton (film)
Stratton is a British action thriller film directed by Simon West, based on the novel series of same name by Duncan Falconer.  The series' lead character John Stratton is played by Dominic Cooper, while the rest of the cast includes Gemma Chan, Austin Stowell, Tyler Hoechlin, and Tom Felton.  Principal photography on the film began on 15 July 2015 in Brindisi, Italy.  The film was released in the UK on 1 September 2017.

---

Thomas Andrew Felton (born September 22, 1987) is an English actor.  Felton began appearing in commercials when he was eight years old for companies such as Commercial Union and Barclaycard.  He made his screen debut in the role of Peagreen Clock in ""The Borrowers"" (1997) and he portrayed Louis T. Leonowens in ""Anna and the King"" (1999).  He rose to prominence for his role as Draco Malfoy in the film adaptions of the best-selling ""Harry Potter"" fantasy novels by J.K. Rowling.  His performances

---

## John Scott Martin
John Scott Martin (1 April 1926 – 6 January 2009) was an English actor born in Toxteth, Liverpool, Lancashire.  He made many film, stage and television appearances, but one of his most famous, though unseen, roles was as a Dalek operator in the long-running BBC science fiction television series ""Doctor Who"".

---

---

## Christopher Masterson
Christopher Kennedy Masterson (born January 22, 1980) is an American actor and disc jockey known best for his role as Francis on ""Malcolm in the Middle"".  He is the younger brother of ""That '70s Show"" cast member Danny Masterson, older brother of ""The Walking Dead"" cast member Alanna Masterson, and older brother of ""Last Man Standing"" cast member Jordan Masterson.

---

in the film ""Good Burger"", and ""Fat Albert"" as the title character.  In his early career, he often collaborated with fellow comedian and ""All That"" cast member Kel Mitchell.  He is ranked at #88 on VH1's 100 Greatest Teen Stars.",generation,high,substring,True,True,True,recursive,500,100,16,ollama,mxbai-embed-large,1024,hybrid,5,5,1927,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8483846187591553
naive,qwen3.5:0.8b,"""I Hope You Dance"" won which group that was founded in 1958 in Nashville, Tennessee?",Country Music Association,"Based on the provided context, the song ""I Hope You Dance"" reached number one on the **Billboard** Hot Country Singles & Tracks chart, and it is stated that the Country Music Association (CMA) was founded in 1958. The text notes that the CMA was the first trade organization formed to promote a music genre, though it is noted that the group ""may be best known to most country by Recording Industry Association of America (RIAA)."" However, the question asks which group founded in 1958 and is in Nashville (where the CMA is founded) and is associated with this song's success as the ""signature song"" and ""Billboard"" number one. The context explicitly identifies the **Country Music Association (CMA)** as the organization founded in 1958 in Nashville.",0.0714285714285714,True,4.0,5.0,2.0,3.6666666666666665,2178.03979999735,4.0,4.0,2.0,3.333333333333333,2805.655000003753,3.5,962.0225999969988,4983.694800001103,5945.717399998102,"Hot 100.  It is considered to be Womack's signature song, and it is the only ""Billboard"" number one for both Womack and Sons of the Desert.  ""I Hope You Dance"" won the 2001 CMA, ACM, NSAI, ASCAP and BMI awards for Song of the Year.  It also won the Grammy Award for Best Country Song and was nominated for Song of the Year.  ""I Hope You Dance"" is ranked 352 in the list ""Songs of the Century"" compiled by Recording Industry Association of America (RIAA).  ""I Hope You Dance"" reached its 2 million

## I Hope You Dance

""I Hope You Dance"" is a crossover country pop song written by Mark Sanders and Tia Sillers and recorded by country singer Lee Ann Womack with Sons of the Desert.  The song, which was featured on Womack's 2000 album of the same name, reached number one on both the ""Billboard"" Hot Country Singles & Tracks and Hot Adult Contemporary Tracks charts, and also reached number fourteen on the ""Billboard"" Hot 100.  It is considered to be Womack's signature song, and it is the only ""Billboard"" number one

The Country Music Association (CMA) was founded in 1958 in Nashville, Tennessee.  It originally consisted of 233 members and was the first trade organization formed to promote a music genre.  The objectives of the organization are to guide and enhance the development of Country Music throughout the world; to demonstrate it as a viable medium to advertisers, consumers, and media; and to provide a unity of purpose for the Country Music industry.  However the CMA may be best known to most country

by Recording Industry Association of America (RIAA).  ""I Hope You Dance"" reached its 2 million sales mark in the United States in October 2015, and as of August 2016, it has sold 2,093,000 digital copies in the US.",none,,substring,True,True,True,recursive,500,100,27,ollama,mxbai-embed-large,1024,hybrid,5,5,1733,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8412331342697144
naive,qwen3.5:0.8b,"Which American composer wrote Symphony No. 4, based on the album Heroes by David Bowie?",Philip Glass,"Based on the context provided, the American composer is **Philip Glass**.

The text explicitly states: ""Heroes Symphony is a symphony (also known as Symphony No. 4 'Heroes') composed by American composer **Philip Glass**..."" and notes that he ""also based his earlier Low Symphony on the David Bowie album, 'Low'.""",0.0,True,5.0,5.0,4.0,4.666666666666667,2323.595800000476,5.0,5.0,4.0,4.666666666666667,1504.9081000033766,4.666666666666667,651.7392000023392,3828.503900003852,4480.243100006192,"## Symphony No. 4 (Glass)
Heroes Symphony is a symphony (also known as Symphony No. 4 ""Heroes"") composed by American composer Philip Glass in 1996 based on the album """"Heroes"""" by David Bowie.  Glass also based his earlier Low Symphony on the David Bowie album, ""Low"".

---

""Heroes"" is a song recorded by the English musician David Bowie, written by Brian Eno and Bowie.  Produced by Bowie and Tony Visconti, it was recorded in July and August 1977, and released on 23 September 1977.  A product of Bowie's ""Berlin"" period, the track was not a huge hit in the UK or US at the time, but has gone on to become one of Bowie's signature songs.  In January 2016, following Bowie's death, the song reached a new peak of number 12 in the UK Singles Chart.  ""Heroes"" has been cited

in August 2004 and re-titled as Heroes (see second infobox at below right), coinciding with Seven Network's TV broadcast of the Athens Olympic Games, which had two tracks removed and a second mix of ""Heroes"" added. "" Heroes"" (The Athens Mix), a cover of David Bowie's original hit, was released in August 2004 and peaked at #93 on the Australian singles charts.

Scary Monsters (And Super Creeps), also known simply as Scary Monsters, is the fourteenth studio album by David Bowie, released on 12 September 1980 by RCA Records.  It was his final studio album on the label and his first following the so-called Berlin Trilogy of ""Low"", """"Heroes"""" and ""Lodger"" (1977–1979).  Though considered very significant in artistic terms, the trilogy had proven less successful commercially.  With ""Scary Monsters"", Bowie achieved what biographer David Buckley called ""the

""Just for One Day (Heroes)"" is a house song performed by French DJ David Guetta, and featuring vocals from singer David Bowie.  The song was released as the lead single from Guetta's compilation album, ""Fuck Me I'm Famous 2003"" in June 2003, and was also credited as the fifth single from his debut studio album, ""Just a Little More Love"".  The song contains a sample from Bowie's 1970s track, ""Heroes"".  The track was officially credited to 'David Guetta vs. Bowie'.  It peaked at No. 73 on the UK",none,,substring,True,True,True,recursive,500,100,30,ollama,mxbai-embed-large,1024,hybrid,5,5,2136,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.844280481338501
naive,qwen3.5:0.8b,Mark E. Mitchell was awarded the Distinguished Service Cross for his actions during a battle uncorrectly referred to as what?,Battle of Mazar-i-Sharif,"The Battle of Qala-i-Jangi (also incorrectly referred to as the ""Battle of Mazar-i-Sharif"") was the battle Mark E. Mitchell was awarded the Distinguished Service Cross for.",0.1739130434782609,True,5.0,5.0,4.0,4.666666666666667,9197.351500006334,5.0,5.0,5.0,5.0,1592.4754000006942,4.833333333333334,356.24059999827296,10789.826900007029,11146.067500005302,"Mark E. Mitchell is the current Acting Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict of the United States Department of Defense.  A retired Colonel, Mitchell was the first member of the United States Army to be awarded the Distinguished Service Cross during the War in Afghanistan and was the first to receive the award since the Vietnam War.  In 2003, he received the award for his actions during the Battle of Qala-i-Jangi, which took place in late November –

## Mark E. Mitchell

The Distinguished Service Cross is the second highest military award that can be given to a member of the United States Army (and previously, the United States Army Air Forces and the United States Air Force), for extreme gallantry and risk of life in actual combat with an armed enemy force.  Actions that merit the Distinguished Service Cross must be of such a high degree that they are above those required for all other U.S. combat decorations but do not meet the criteria for the Medal of

---

## Battle of Qala-i-Jangi
The Battle of Qala-i-Jangi (also incorrectly referred to as the ""Battle of Mazar-i-Sharif"") was a prisoner-of-war camp uprising that took place between November 25 and December 1, 2001, in northern Afghanistan, following the armed intervention by United States-led coalition forces to try to overthrow the Taliban's Islamic Emirate of Afghanistan, which it had accused of harboring al-Qaeda operatives.

---

the award for his actions during the Battle of Qala-i-Jangi, which took place in late November – early December 2001.",none,,substring,True,True,True,recursive,500,100,27,ollama,mxbai-embed-large,1024,hybrid,5,5,1571,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.902644693851471
naive,qwen3.5:0.8b,What company operates properties for MGM Growth Properties LLC and owns 50 percent of CityCenter in Las Vegas?,MGM Resorts International,MGM Resorts International,1.0,True,5.0,5.0,5.0,5.0,2074.221299997589,5.0,5.0,5.0,5.0,1107.9587999993237,5.0,228.0514999947627,3182.1800999969128,3410.2315999916755,"the MGM Macau resort and casino and is developing a gaming resort in Cotai.  MGM Resorts owns 50 percent of CityCenter in Las Vegas, which features ARIA Resort & Casino.  It has a majority controlling interest in MGM Growth Properties, a real estate investment trust.

---

## MGM Growth Properties
MGM Growth Properties LLC is a real estate investment trust that invests in large-scale destination entertainment and leisure resorts.  As of December 31, 2016, the company owned 11 properties operated by MGM Resorts International, comprising 27,233 hotel rooms.  The company leases the properties to MGM Resorts International via NNN Leases for an annual payment of $745 million.

---

by a people mover system to adjacent MGM properties Monte Carlo Las Vegas and Bellagio Las Vegas.  As of 2015, the ""CityCenter"" branding has been largely retired, with the focus instead on the Aria brand of the development's centerpiece property in names such as the ""Aria Express"" (formerly ""CityCenter Tram"") and ""Aria Art Collection"" (formerly ""CityCenter Art Collection"").

MGM Resorts International is a global hospitality and entertainment company operating destination resorts in Las Vegas, Mississippi, New Jersey and Detroit, including Bellagio, MGM Grand, Mandalay Bay and The Mirage.  The company recently opened MGM National Harbor in Maryland and is developing MGM Springfield in Massachusetts.  It has a majority interest in MGM China Holdings Limited, which owns the MGM Macau resort and casino and is developing a gaming resort in Cotai.  MGM Resorts owns 50

CityCenter (also known as CityCenter Las Vegas) is a 16797000 sqft mixed-use, urban complex on 76 acre located on the Las Vegas Strip in Paradise, Nevada.  The project was started by MGM Resorts International; Dubai World became a joint partner during the project's construction phase.  It is the largest privately funded construction project in the history of the United States.  The project is connected by a people mover system to adjacent MGM properties Monte Carlo Las Vegas and Bellagio Las",none,,substring,True,True,True,recursive,500,100,34,ollama,mxbai-embed-large,1024,hybrid,5,5,2058,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.0
naive,qwen3.5:0.8b,"What place Dayton metropolitan area centered on Dayton, Ohio takes after Cincinnati metropolitan area also known as Greater Cincinnati which is the largest metropolitan area in Ohio and has population of 2,11,580 people?",It is the fourth largest,"The Dayton metropolitan area takes after the Cincinnati metropolitan area (known as Greater Cincinnati) by being the fourth largest metropolitan area in the state of Ohio, behind Cincinnati, Cleveland, and Columbus. The Cincinnati metropolitan area (Greater Cincinnati), informally known as Greater Cincinnati, is a metropolitan area that includes counties in the U.S. states of Ohio, Kentucky, and Indiana. As of the 2010 U.S. Census, this MSA had a population of 2,114,580, the largest metropolitan area involving Ohio and 27th largest in the United States.",0.1481481481481481,False,4.0,3.0,2.0,3.0,3695.87240000692,4.0,4.0,3.0,3.6666666666666665,1464.2823999965913,3.333333333333333,764.4864000030793,5160.154800003511,5924.64120000659,"---

## Dayton metropolitan area
The Dayton metropolitan area is the metropolitan area centered on Dayton, Ohio.  It is the fourth largest metropolitan area in the state of Ohio, behind Cincinnati, Cleveland, and Columbus.

---

The Cincinnati metropolitan area, informally known as Greater Cincinnati, is a metropolitan area that includes counties in the U.S. states of Ohio, Kentucky, and Indiana around the Ohio city of Cincinnati.  The United States Census Bureau's formal name for the area is the Cincinnati–Middletown, OH–KY–IN Metropolitan Statistical Area.  As of the 2010 U.S. Census, this MSA had a population of 2,114,580, the largest metropolitan area involving Ohio and 27th largest in the United States.

Dayton ( ) is the sixth-largest city in the state of Ohio and is the county seat of Montgomery County.  A small portion of the city extends into Greene County.  In the 2010 census, the population was 141,527, and the Dayton metropolitan area had 799,232 residents, making it Ohio's fourth-largest metropolitan area, after Cleveland, Cincinnati, and Columbus and the 63rd-largest in the United States.  The Dayton-Springfield-Greenville Combined Statistical Area had a population of 1,080,044 in

---

## Dayton metropolitan area (disambiguation)
The Dayton metropolitan area is the metropolitan area centered on Dayton, Ohio.

---

---

## Toledo, OH Metropolitan Statistical Area
The Toledo, OH Metropolitan Statistical Area is a metropolitan area centered on the American city of Toledo, Ohio.  As of the 2010 census, the MSA had a population of 651,429.  It is the sixth largest metropolitan area in the state of Ohio, behind Cincinnati-Northern Kentucky, Cleveland, Columbus, Dayton, and Akron.

---",generation,high,substring,True,True,True,recursive,500,100,23,ollama,mxbai-embed-large,1024,hybrid,5,5,1722,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.838258683681488
naive,qwen3.5:0.8b,Aethionema and Physoplexis are both native flowering plants from which continent?,Europe,Europe,1.0,True,3.0,4.0,5.0,4.0,2490.4289999976754,5.0,5.0,5.0,5.0,1503.2910000008997,4.5,239.19159999786643,3993.719999998575,4232.9115999964415,"---

## Aethionema
Aethionema syn.  ""Eunomia"" is a genus of flowering plants, within the family Brassicaceae, subfamily Brassicoideae.  The genus is collectively known as the stonecresses.  They originate from sunny limestone mountainsides in Europe and West Asia, especially Turkey.

---

---

## Physoplexis
Physoplexis comosa, the tufted horned rampion is a species of flowering plant in the family Campanulaceae, native to alpine Europe.  It is the only species in its genus, and was formerly included in ""Phyteuma"".

---

and Madagascar.  Many species new to science have been and are in the process of being described from these regions.  For example, 37 new species of ""Eugenia"" have been described from Mesoamerica in the past few years.  At least 20 new species are currently in the process of being described from New Caledonia, and approximately the same number of species new to science may occur in Madagascar.  Despite the enormous ecological importance of the myrtle family in Australia (e.g. ""Eucalyptus"",

---

## Lilium
Lilium (members of which are true lilies) is a genus of herbaceous flowering plants growing from bulbs, all with large prominent flowers.  Lilies are a group of flowering plants which are important in culture and literature in much of the world.  Most species are native to the temperate northern hemisphere, though their range extends into the northern subtropics.  Many other plants have ""lily"" in their common name but are not related to true lilies.

---

## Dierama
Dierama, is a genus of flowering plants in the iris family, Iridaceae.  Common names include hairbells, Angel's Fishing Rod, fairybells, and wandflowers in English and grasklokkies in Afrikaans.  They are native to Africa, with most occurring in the southern regions of the continent.  The center of diversity is the Province of KwaZulu-Natal in eastern South Africa.

---",none,,substring,True,True,True,recursive,500,100,20,ollama,mxbai-embed-large,1024,hybrid,5,5,1881,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,1.0
naive,qwen3.5:0.8b,"What artist, born as Clorinda Fiorentino, starred in Unforgettable with Ray Liotta?",Linda Fiorentino,Ray Liotta,0.0,False,1.0,1.0,5.0,2.333333333333333,2146.9490000017686,1.0,2.0,5.0,2.6666666666666665,4447.113399997761,2.5,251.1296000011498,6594.06239999953,6845.192000000679,"---

## Unforgettable (1996 film)
Unforgettable is a 1996 thriller film with science fiction elements, directed by John Dahl, and starring Ray Liotta and Linda Fiorentino.  The film is about a man named David Krane (Liotta), who is obsessed with finding out who murdered his wife.

---

---

## Linda Fiorentino
Clorinda Fiorentino, known by her stage name Linda Fiorentino (born March 9, 1958 or 1960), is an American actress.  She became known for her leading role in the 1985 coming-of-age drama film ""Vision Quest""; then, in the same year she earned wide recognition for her role in the action film ""Gotcha! "" (1985); later on, she appeared in ""After Hours"" (1985), ""Queens Logic"" (1991) and ""Jade"" (1995).

---

---

## Corrina, Corrina (film)
Corrina, Corrina is a 1994 American feature film set in 1959 about a widower (Ray Liotta) who hires a housekeeper/nanny (Whoopi Goldberg) to care for his daughter (Tina Majorino).  It was written and directed by Jessie Nelson, in her feature film directing debut.  It was the final film in which Don Ameche starred; he died shortly after filming was completed.

---

Wayne Kramer (born 26 May 1965) is a South African-American filmmaker and storyboard artist.  Kramer has written and directed films such as the 2003 film ""The Cooler"", which garnered an Oscar nomination for its star Alec Baldwin, as well as two Golden Globe nominations for Baldwin and Maria Bello.  He also adapted his 1995 short film ""Crossing Over"" into a feature-length version which starred Harrison Ford, Ray Liotta, Ashley Judd and Jim Sturgess, and was released by the Weinstein Company in

## Bernard Alane
Bernard Alane (born Bernard Noël Vetel 25 December 1948 in Paris) is a French actor and singer, he is the son of actress Annick Alane.  He is best known in France for his roles in two films directed by Edouard Molinaro, ""Hibernatus"" and ""Mon oncle Benjamin"", but has achieved better fame as voice actor, practically in dubbing.  He is the official French voice of Stanley Tucci and Ray Liotta.

---",generation,high,substring,True,True,True,recursive,500,100,16,ollama,mxbai-embed-large,1024,hybrid,5,5,2030,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42,0.8494635820388794
