example_id,question,gold_answer,rag_answer,gold_exact_match,gold_f1,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,dataset_name,dataset_sample_seed,difficulty,question_type,strategy_latency_ms,failure_stage,failure_stage_confidence,failure_stage_method,context_sent_to_llm,gold_in_chunks,gold_in_retrieved,gold_in_context,google_gemini_2_5_flash_lite_faithfulness,google_gemini_2_5_flash_lite_relevance,google_gemini_2_5_flash_lite_conciseness,google_gemini_2_5_flash_lite_quality,google_gemini_2_5_flash_faithfulness,google_gemini_2_5_flash_relevance,google_gemini_2_5_flash_conciseness,google_gemini_2_5_flash_quality,google_gemini_2_5_pro_faithfulness,google_gemini_2_5_pro_relevance,google_gemini_2_5_pro_conciseness,google_gemini_2_5_pro_quality,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_sonnet_4_20250514_faithfulness,anthropic_claude_sonnet_4_20250514_relevance,anthropic_claude_sonnet_4_20250514_conciseness,anthropic_claude_sonnet_4_20250514_quality,anthropic_claude_opus_4_20250514_faithfulness,anthropic_claude_opus_4_20250514_relevance,anthropic_claude_opus_4_20250514_conciseness,anthropic_claude_opus_4_20250514_quality
0,"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",Lullwater Estate,Lullwater Estate,True,1.0,recursive,500,100,14,ollama,mxbai-embed-large,1024,hybrid,10,3,876,bge,3,ollama,local,hotpotqa,42,medium,bridge,31982.302599994,none,,substring,"---

## Robert Maddox
Robert Foster Maddox (April 4, 1870 – 1965) was the 41st Mayor of Atlanta, Georgia.

---

---

## Asa Griggs Candler
Asa Griggs Candler (December 30, 1851 – March 12, 1929) was an American business tycoon who founded the Coca-Cola Company.  He also served as the 41st Mayor of Atlanta, Georgia from 1916 to 1919.  Candler Field, the site of the present-day Hartsfield-Jackson Atlanta International Airport, was named after him, as is Candler Park in Atlanta.

---

## Rainbow Terrace
Rainbow Terrace, now known as Lullwater Estate, is the Mediterranean-style Atlanta mansion built for Lucy Beall Candler Owens Heinz (1882–1962), daughter of Coca-Cola co-founder Asa Griggs Candler.  The architect was G. Lloyd Preacher, the architect of Atlanta City Hall.  It is located at what is now 1610 Ponce de Leon Avenue in the Druid Hills Historic District.

---",True,True,True,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,"Where is the band that wrote ""The Drug in Me Is You"" based in?","Las Vegas, Nevada","The provided context states that ""The Drug in Me Is You"" is the second single from the debut album ""The Drug in Me Is You"" by the band ""Falling in Reverse."" However, the context does not specify where this band is based. The context also mentions that ""Wayne Robbins and The Hellsayers"" is based in Asheville, North Carolina, but this is a different band and does not provide information about Falling in Reverse.

Since the base location for the band that wrote ""The Drug in Me Is You"" (Falling in Reverse) is not included in the provided context, there is no final answer for the question based solely on the context.

\boxed{\text{not specified}}",False,0.0,recursive,500,100,28,ollama,mxbai-embed-large,1024,hybrid,10,3,1261,bge,3,ollama,local,hotpotqa,42,medium,bridge,45430.60540000442,retrieval,high,substring,"---

## The Drug in Me Is You (song)
""The Drug in Me Is You"" is the second single from the debut album ""The Drug in Me Is You"", by the band Falling in Reverse.  It was released on June 28, 2011.  The music video for the song has more than 40 million views on YouTube.

---

Wayne Robbins and The Hellsayers is a psychedelic-folk-rock band based in Asheville, North Carolina.  The band is Wayne Robbins (vocals and guitars, and principal songwriter), Jeff Whitworth (lap steel, guitars, banjo), Jonas Cole (guitars and keys), Erich Hubner (bass) and Josh Carpenter (drums).  Their first album, ""The Lonesome Sea"", was released on De'll Orso Records in London to critical acclaim (""Uncut"" magazine gave it four stars), and it was independently released by the band in the

""2000 Light Years from Home"" is a song from The Rolling Stones' 1967 psychedelic rock album ""Their Satanic Majesties Request"".  Written by Mick Jagger and Keith Richards, it also appeared as the B-side to the American single ""She's a Rainbow"", and charted as a single in Germany.  Jagger reportedly wrote the lyrics in Brixton prison following his conviction on drug charges in June 1967.  The song was recorded by the band inside Olympic Studios during July 1967.  The working title of the",True,False,False,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667
2,Tulapur is a village in which second largest city in Maharashtra?,Pune,"The provided context states that Tulapur is a village in Pune district, Maharashtra, India. However, the context does not specify any information about the second largest city in Maharashtra. The context mentions Harali and Kadgaon in Kolhapur district, but these are not relevant to the second largest city in the state of Maharashtra. Since the context does not provide details on the cities of Maharashtra or their rankings, it is impossible to determine which second largest city in Maharashtra Tulapur is associated with using only the provided context.

Therefore, based solely on the given context, the question cannot be answered.",True,0.0307692307692307,recursive,500,100,23,ollama,mxbai-embed-large,1024,hybrid,10,3,1165,bge,3,ollama,local,hotpotqa,42,medium,bridge,41783.77349997754,none,,substring,"---

## Tulapur
Tulapur is a village in Pune district, Maharashtra, India associated with the last moments of Chhatrapati Sambhaji Maharaj, Son of Chhatrapati Shivaji.

---

Harali is a Town in Gadhinglaj Taluka Kolhapur district situated in the southwest corner of state Maharashtra, India.  Harali is situated on banks of Hiranyakeshi river originated from the Great Amboli Ghats is about 7 km from Gadhinglaj towards south and 12 km from the second largest city Kadgaon in Gadhinglaj Taluka and just 2 km from Mahagaon,Gadhinglaj.  It is managed by Town Council. In 2011 it has a population of about 15,856.  Harali is the eight largest city and town in Gadhinglaj

Kadgaon is a town situated Gadhinglaj Taluka of Kolhapur District situated in the southwest corner of the state of Maharashtra, India.  Kadgaon is about 4 km from Gadhinglaj, 79 km from Kolhapur. Kadgaon is situated on MH SH 134 and is about 15 km from National Highway 4 (NH4).  It is managed by Town Council.  It is in the phase of transforming from a small town to a bustling city.  It is the second largest city after Gadhinglaj in Gadhinglaj Taluka also second largest city in Gadhinglaj sub",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.333333333333333,5.0,3.0,2.0,3.333333333333333,5.0,2.0,3.0,3.333333333333333,5.0,5.0,4.0,4.666666666666667
3,Barbara Jordan and Mark Knowles are both what?,former tennis player,former professional tennis players,False,0.5714285714285715,recursive,500,100,7,ollama,mxbai-embed-large,1024,hybrid,10,3,1158,bge,3,ollama,local,hotpotqa,42,hard,comparison,28926.071599998977,generation,high,substring,"---

## Barbara Jordan (tennis)
Barbara Jordan (born April 2, 1957) is a former professional female tennis player from the United States who won the 1979 Australian Open singles title.

---

## 2001 If Stockholm Open – Doubles
Mark Knowles and Daniel Nestor were the defending champions but only Knowles competed that year with Brian MacPhie.

---

---

## Mark Knowles
Mark Knowles (born 4 September 1971) is a former tennis player from the Bahamas, specialising in doubles tennis.  He has won a number of Grand Slam tournaments, most notably partnering with Daniel Nestor.  At various times between 2002 and 2005 he was ranked World No. 1 in doubles.  He is a five-time Olympian.

---

---

## 2008 French Open – Men's Doubles
Mark Knowles and Daniel Nestor were the defending champions, but did not compete together.  Knowles partnered with Mahesh Bhupathi, but lost in the first round to Stephen Huss and Ross Hutchins.

---

## 2010 Rogers Cup – Men's Doubles
Mahesh Bhupathi and Mark Knowles were the defending champions, but they chose to not compete together this year.  Bhupathi played with Max Mirnyi and Knowles partnered with Radek Štěpánek.

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.666666666666667
4,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli,Bacoli,True,1.0,recursive,500,100,18,ollama,mxbai-embed-large,1024,hybrid,10,3,1346,bge,3,ollama,local,hotpotqa,42,hard,bridge,12261.983999982476,none,,substring,"---

## Fusaro Lake
Lake Fusaro (Italian: ""Lago di Fusaro"") is a lake of the Campania region that is situated west of Naples, Italy, in the territory of the community of Bacoli.  It is about 0.5 mi from Baia, and about 1 mi south of the acropolis of Cumae.  It is separated from the sea by a narrow coastal strip, it is a very unusual ecosystem of great interest, characterized by a variety of vegetation which is specific to the region.

---

Baiae (Italian: ""Baia"" ; Neapolitan: ""Baia"" ) was an ancient Roman town situated on the northwest shore of the Gulf of Naples, and now in the ""comune"" of Bacoli.  It was a fashionable resort for centuries in antiquity, particularly towards the end of the Roman Republic, when it was reckoned as superior to Pompeii, Herculaneum, and Capri by the super-rich who built luxurious villas here.  It was notorious for its hedonistic offerings and the attendant rumours of corruption and scandal.  It later

---

## Stabiae
Stabiae was an ancient Roman town near the modern town of Castellammare di Stabia and approximately 4.5 km southwest of Pompeii, and which became famous for the magnificent Roman villas found there in recent times.  The beautiful objects and frescoes taken from these villas were often sold and distributed, while many can be found in the National Archaeological Museum of Naples.

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,In what Australian city did the United States ship supplies in 1943 as part of the Lend-lease policy during WWII,Sydney,Sydney,True,1.0,recursive,500,100,36,ollama,mxbai-embed-large,1024,hybrid,10,3,1495,bge,3,ollama,local,hotpotqa,42,medium,bridge,8974.992699979339,none,,substring,"---

## New South Wales 79 class locomotive
In 1943, during World War II, four diesel-electric industrial shunting type locomotives built by General Electric Company, Erie for the United States Army Transportation Corps (USATC) were imported from the United States of America by the Department of Supply under Lend-Lease conditions for use at the Dunheved munitions factory in Sydney.  They were four units of 58 units built for the USATC by General Electric numbered 8499-8528 & 7900-7929.

---

The Lend-Lease policy, formally titled ""An Act to Promote the Defense of the United States"", (Pub.L.  77–11 , , 55 Stat.  31 , enacted  11, 1941 ) was a program under which the United States supplied Free France, the United Kingdom, the Republic of China, and later the Soviet Union and other Allied nations with food, oil, and materiel between 1941 and August 1945.  This included warships and warplanes, along with other weaponry.  It was signed into law on March 11, 1941 and ended in September

up to produce Flower-class corvette .  Vitality"" (PG-100) was such a ship.  However, before she was launched on 15 April 1943 by the Midland Shipyard in Canada, she was traded to the Royal Navy under the terms of the lend-lease agreement for a similar ship being constructed in Canada.  The British renamed her HMS ""Willowherb, and she served in the Royal Navy for the duration of the war.  On 11 June 1946, she was returned to the custody of the United States Navy.  Though carried on the Navy list",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6,Which American distance runner who died in an automobile accident in Oregon had a trail named after him?,Steve Prefontaine,"Steve Prefontaine died in an automobile accident in Oregon on May 30, 1975, in Eugene, Oregon. The context states that ""Pre's Trail,"" located in Eugene, Oregon, is named after him. Therefore, Steve Prefontaine is the American distance runner who died in an automobile accident in Oregon and had a trail named after him.

\boxed{Steve Prefontaine}",True,0.1025641025641025,recursive,500,100,28,ollama,mxbai-embed-large,1024,hybrid,10,3,1284,bge,3,ollama,local,hotpotqa,42,medium,bridge,14843.921099993167,none,,substring,"---

## Steve Prefontaine
Steve Roland ""Pre"" Prefontaine (January 25, 1951 – May 30, 1975) was an American middle and long-distance runner who competed in the 1972 Olympics.  Prefontaine once held the American record in seven different distance track events from the 2,000 meters to the 10,000 meters.  Prefontaine died in May 1975 at the age of 24 in an automobile accident in Eugene, Oregon.

---

Pre's Trail, located on the north side of the Willamette River in Eugene, Oregon, United States, popularly referred to as ""Track Town USA"", is a four-mile-long running and walking trail named after heralded University of Oregon athlete Steve Prefontaine.  The woodchip-and-bark trail features riparian scenery, including grasslands, duck ponds, and woods, as well as guide signs with trail maps at each of three primary trailheads.  Near downtown Eugene, in Alton Baker Park, Pre's Trail is part of

---

## Hal Koerner
Hal Koerner (born January 23, 1976 in Morgantown, WV) is an American distance runner specializing in ultramarathon running.  He is the owner of a specialty running store, Rogue Valley Runners, located in the mountainous Southern Oregon town of Ashland.  He is one of the subjects of JB Benna's feature-length documentary ""Unbreakable: The Western States 100"".

---",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.333333333333333,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,4.0,4.666666666666667,5.0,5.0,5.0,5.0
7,"Which Indian political party represented in the Indian vice-presidential election, 2012 has Narenda Modi as its leader?",National Democratic Alliance,"The provided context states that the National Democratic Alliance (NDA) is a coalition led by the Bharatiya Janata Party (BJP). Narendra Modi is identified as the leader of the BJP and the current Prime Minister and Leader of the House in Lok Sabha. In the 2012 Indian Vice-Presidential election, the BJP was represented through the NDA coalition, with Jaswant Singh as the NDA candidate. The question asks for the Indian political party that has Narendra Modi as its leader and was represented in the 2012 election. Based on the context, Narendra Modi is the leader of the BJP, and the BJP was represented in the election via the NDA coalition.

Thus, the Indian political party that has Narendra Modi as its leader and was represented in the Indian vice-presidential election, 2012 is the Bharatiya Janata Party.

\boxed{Bharatiya Janata Party}",True,0.0895522388059701,recursive,500,100,19,ollama,mxbai-embed-large,1024,hybrid,10,3,1149,bge,3,ollama,local,hotpotqa,42,medium,bridge,45703.74350002385,none,,substring,"The National Democratic Alliance (NDA) is a centre-right coalition of political parties in India.  At the time of its formation in 1998, it was led by the Bharatiya Janata Party (BJP) and had thirteen constituent parties.  Its honorary chairman is former Prime Minister Atal Bihari Vajpayee.  Also representing the alliance are L. K. Advani, former Deputy Prime Minister, who is the acting chairman of the Alliance, Narendra Modi, current Prime Minister and Leader of the House in Lok Sabha; and

---

## Indian vice-presidential election, 2012
The 2012 Indian Vice-Presidential election was held on 7 August 2012 to elect Vice-President of India.  Mohammad Hamid Ansari was the incumbent and the UPA candidate.  The other prime candidate was the NDA's Jaswant Singh.

---

of the Alliance, Narendra Modi, current Prime Minister and Leader of the House in Lok Sabha; and Arun Jaitley, Leader of the House in Rajya Sabha.  The coalition was in power from 1998 to 2004.  The alliance returned to power in the 2014 General election with a combined vote share of 38.5%.  Its leader, Narendra Modi, was sworn in as Prime Minister of India on 26 May 2014.",True,True,True,5.0,5.0,4.0,4.666666666666667,4.0,5.0,4.0,4.333333333333333,4.0,5.0,4.0,4.333333333333333,4.0,5.0,3.0,4.0,5.0,5.0,3.0,4.333333333333333,4.0,5.0,3.0,4.0
8,"Which Walt Disney production was based on Jules Verne's 1868 novel ""Captain Grant's Children,"" The Misadventures of Merlin Jones or In Search of the Castaways?",In Search of the Castaways,In Search of the Castaways,True,1.0,recursive,500,100,21,ollama,mxbai-embed-large,1024,hybrid,10,3,1226,bge,3,ollama,local,hotpotqa,42,medium,comparison,18680.06620000233,none,,substring,"---

## In Search of the Castaways (film)
In Search of the Castaways is a 1962 Walt Disney Productions feature film starring Hayley Mills and Maurice Chevalier in a tale about a worldwide search for a shipwrecked sea captain.  The film was directed by Robert Stevenson from a screenplay by Lowell S. Hawley based upon Jules Verne's 1868 adventure novel ""Captain Grant's Children"".  The film was Mills' third of six for the Disney Studios.

---

---

## The Misadventures of Merlin Jones
The Misadventures of Merlin Jones is a 1964 Walt Disney production starring Tommy Kirk and Annette Funicello.  Kirk plays a college student who experiments with mind-reading and hypnotism, leading to run-ins with a local judge.  Funicello plays his girlfriend (and sings the film's title song written by brothers Robert and Richard Sherman).

---

---

## In Search for Captain Grant
In Search for Captain Grant (Russian: В поисках капитана Гранта , ""V poiskakh kapitana Granta "" , Bulgarian: По следите на капитан Грант ) is a 1986 Soviet 7-part television miniseries adaptation of Jules Verne's novel ""In Search of the Castaways"" directed by Stanislav Govorukhin.  It was shot on the Odessa Film Studio and Bulgarian Boyana Film in 1985.",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9,the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,Lake Geneva,True,1.0,recursive,500,100,33,ollama,mxbai-embed-large,1024,hybrid,10,3,1271,bge,3,ollama,local,hotpotqa,42,medium,bridge,10056.417299987515,none,,substring,"---

## Lausanne
Lausanne ( , ] , German: ""Lausanne"" , and also ""Lausannen"" Italian: ""Losanna"" , Romansh: ""Losanna"" ) is a city in the French-speaking part of Switzerland, and the capital and biggest city of the canton of Vaud.  The city is situated on the shores of Lake Geneva (French: ""Lac Léman"" , or simply ""Le Léman"").  It faces the French town of Évian-les-Bains, with the Jura Mountains to its north-west.  Lausanne is located 62 km northeast of Geneva.

---

---

## Belgium in the Eurovision Song Contest 1989
Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May.  Ingeborg was the winner of the Belgian national final for the contest, held in Brussels on 18 March.

---

The Eurovision Song Contest 2015 was the 60th edition of the annual Eurovision Song Contest musical event.  The contest took place in Vienna, Austria, following Austrian Conchita Wurst's victory in the 2014 edition.  This was the second time that Austria hosted the contest; the 1967 edition being the first (also hosted in Vienna).  The 2015 contest consisted of two semi-finals, which took place on 3-4 October, and a final, held on 5 October 2015.  The shows were presented by Mirjam",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
