strategy,chunker,model,question,gold_answer,rag_answer,gold_f1,gold_exact_match,anthropic_claude_haiku_4_5_20251001_faithfulness,anthropic_claude_haiku_4_5_20251001_relevance,anthropic_claude_haiku_4_5_20251001_conciseness,anthropic_claude_haiku_4_5_20251001_quality,anthropic_claude_haiku_4_5_20251001_scorer_latency_ms,openai_gpt_5_4_mini_faithfulness,openai_gpt_5_4_mini_relevance,openai_gpt_5_4_mini_conciseness,openai_gpt_5_4_mini_quality,openai_gpt_5_4_mini_scorer_latency_ms,consensus_quality,strategy_latency_ms,scorer_latency_ms_total,total_latency_ms,context_sent_to_llm,failure_stage,failure_stage_confidence,failure_stage_method,gold_in_chunks,gold_in_retrieved,gold_in_context,chunk_type,chunk_size,chunk_overlap,num_chunks,embed_provider,embed_model,embed_dimension,retrieval_mode,retrieval_top_k,num_chunks_retrieved,context_char_length,reranker_model,reranker_top_k,llm_provider,llm_host,llm_model,llm_quantization,dataset_name,dataset_sample_seed
naive,recursive,qwen3.5:0.8b,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,"Based on the provided text, **both** Tim McIlrath and Spike Slawson are American punk rock musicians:

1.  **Tim McIlrath**: The text identifies him as an ""American punk rock musician,"" lists ""the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against,"" and notes that his band, Rise Against, is a primary source of his punk rock identity.
2.  **Spike Slawson**: The text identifies him as an ""American punk rock musician,"" listing him as a ""member of Me First and the Gimme Gimmes,"" and explicitly states that he is ""also from Swingin' Utters,"" which is described as an American punk rock group.

**Answer:** Yes.",0.0,True,4.0,5.0,3.0,4.0,5777.194000023883,5.0,5.0,4.0,4.666666666666667,1846.3476999895647,4.333333333333334,5134.894699964207,7623.541700013448,12758.436399977654,"---

## Spike Slawson
Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.

---

---

## Tim McIlrath
Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.  He is the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against.  McIlrath is known to support animal rights and actively promotes PETA with his band.  He is also straight edge.

---

The Filthy Thieving Bastards is an American folk/punk rock group formed in 2000 in San Francisco, California.  The band was originally a side project put together by Johnny Bonnel and Darius Koski of the Swingin' Utters.  Spike Slawson (also from Swingin' Utters) later joined the band, along with recording engineer Randy Burk.  Greg Lisher from Camper Van Beethoven guested on guitar for several songs on their second release.  Their music is influenced by folk rock, Celtic rock, country music,

The Dwarves Must Die is the 2004 release by the American punk band Dwarves.  It is the band's first release on the ""Sympathy for the Record Industry"" label.  There are several cameos, including Dexter Holland from The Offspring, Nash Kato from Urge Overkill, desert rock icon Nick Oliveri, Josh Freese from The Vandals, Spike Slawson from Me First and the Gimme Gimmes, gangster rapper San Quinn, DJ Marz, and even the original Space Ghost himself, Gary Owens.  The rather freeform departure from

songs on their second release.  Their music is influenced by folk rock, Celtic rock, country music, 60's pop, and punk rock, with an acknowledged and oft-noted debt to the music of The Pogues.",none,n/a,substring,False,False,False,recursive,500,100,21,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,1717,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,Alan Furst and Lee Child are what?,is a British author,"Based on the provided context, Alan Furst is an American historical spy novelist, whereas Lee Child is a British thriller novelist. They are not in the same field or genre.

Answer: Alan Furst and Lee Child are authors writing different genres (historical spy vs. thriller).",0.14634146341463414,False,4.0,2.0,4.0,3.3333333333333335,2918.0699000135064,5.0,4.0,4.0,4.333333333333333,1674.8583000153303,3.833333333333333,1006.4493999816477,4592.928200028837,5599.3776000104845,"---

## Alan Furst
Alan Furst (born February 20, 1941) is an American author of historical spy novels. Furst has been called ""an heir to the tradition of Eric Ambler and Graham Greene,"" whom he cites along with Joseph Roth and Arthur Koestler as important influences.  Most of his novels since 1988 have been set just prior to or during the Second World War and he is noted for his successful evocations of Eastern European peoples and places during the period from 1933 to 1944.

---

## Lee Child
James D. ""Jim"" Grant (born 29 October 1954), primarily known by his pen name Lee Child, is a British author who writes thriller novels, and is most well-known for his ""Jack Reacher"" novel series.  The books follow the adventures of a former American military policeman, Jack Reacher, who wanders the United States.  His first novel, ""Killing Floor"", won both the Anthony Award, and the Barry Award for Best First Novel.

---

## Kingdom of Shadows
Kingdom of Shadows (2000) is a novel by Alan Furst.  It won the 2001 Hammett Prize.

---

---

## The Polish Officer
The Polish Officer (1995) is a novel by Alan Furst.

---

## The World at Night
The World at Night (1996) is a novel by Alan Furst.

---

## The Affair (Child novel)",generation,high,substring,True,True,True,recursive,500,100,20,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,1229,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli,Camulodunum (or Camulodunum),0.0,False,1.0,1.0,5.0,2.3333333333333335,2481.088100001216,1.0,1.0,5.0,2.3333333333333335,2277.3837000131607,2.3333333333333335,844.5370999979787,4758.471800014377,5603.008900012355,"---

## Fusaro Lake
Lake Fusaro (Italian: ""Lago di Fusaro"") is a lake of the Campania region that is situated west of Naples, Italy, in the territory of the community of Bacoli.  It is about 0.5 mi from Baia, and about 1 mi south of the acropolis of Cumae.  It is separated from the sea by a narrow coastal strip, it is a very unusual ecosystem of great interest, characterized by a variety of vegetation which is specific to the region.

---

---

## Stabiae
Stabiae was an ancient Roman town near the modern town of Castellammare di Stabia and approximately 4.5 km southwest of Pompeii, and which became famous for the magnificent Roman villas found there in recent times.  The beautiful objects and frescoes taken from these villas were often sold and distributed, while many can be found in the National Archaeological Museum of Naples.

---

Camulodunum ( or ; Latin: ' ), the Ancient Roman name for what is now Colchester in Essex, was an important town in Roman Britain, and the first capital of the province.  It is claimed to be the oldest town in Britain.  Originally the site of the Brythonic-Celtic oppidum of Camulodunon (meaning """"The Stronghold of Camulos""""), capital of the Trinovantes and later the Catuvellauni tribes, it was first mentioned by name on coinage minted by the chieftain Tasciovanus sometime between 20 and 10 BC.

Baiae (Italian: ""Baia"" ; Neapolitan: ""Baia"" ) was an ancient Roman town situated on the northwest shore of the Gulf of Naples, and now in the ""comune"" of Bacoli.  It was a fashionable resort for centuries in antiquity, particularly towards the end of the Roman Republic, when it was reckoned as superior to Pompeii, Herculaneum, and Capri by the super-rich who built luxurious villas here.  It was notorious for its hedonistic offerings and the attendant rumours of corruption and scandal.  It later

---

## Miróbriga
Miróbriga (""Mirobriga Celticorum"") is an ancient Roman town located near the village and civil parish of Santiago do Cacém, in the municipality of the same name in the south-west of Portugal.  Archeology revealed a that the town occupied the site of an ancient Iron Age settlement that existed since the 9th century B.C.

---",generation,high,substring,True,True,True,recursive,500,100,18,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,2191,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,Lake Malaya,0.5,False,1.0,5.0,5.0,3.6666666666666665,1692.6596999983303,1.0,1.0,5.0,2.3333333333333335,2179.0054999873973,3.0,701.5080999699421,3871.6651999857277,4573.17329995567,"## Eurovision Song Contest 1998
The Eurovision Song Contest 1998 was the 43rd annual Eurovision Song Contest.  The contest took place in Birmingham in the United Kingdom, following Katrina and the Waves's win in the 1997 contest in Dublin with ""Love Shine A Light"".  It was the UK's fifth win, and the eighth time that the UK hosted the contest, the last being in Harrogate in 1982.  The UK has not won or hosted the contest since.  The contest took place in the National Indoor Arena on 9 May 1998.

---

## Belgium in the Eurovision Song Contest 1989
Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May.  Ingeborg was the winner of the Belgian national final for the contest, held in Brussels on 18 March.

---

The Eurovision Song Contest 2017 was the 62nd edition of the Eurovision Song Contest.  It took place in the International Exhibition Centre in Kiev, Ukraine, following Ukraine's victory at the 2016 contest in Stockholm with the song ""1944"", written and performed by Jamala.  This was the second time the contest took place in Kiev, after 2005 , as well as the fourth Eurovision event, after the Junior Eurovision Song Contest in 2009 and 2013 .  The contest consisted of two semi-finals on 9 and 11

The Eurovision Song Contest 2015 was the 60th edition of the annual Eurovision Song Contest musical event.  The contest took place in Vienna, Austria, following Austrian Conchita Wurst's victory in the 2014 edition.  This was the second time that Austria hosted the contest; the 1967 edition being the first (also hosted in Vienna).  The 2015 contest consisted of two semi-finals, which took place on 3-4 October, and a final, held on 5 October 2015.  The shows were presented by Mirjam

The Eurovision Song Contest 2005 was the 50th annual Eurovision Song Contest.  The contest took place at the Palace of Sports in Kiev, Ukraine, following Ruslana's win in the 2004 Contest with the song ""Wild Dances"".  The contest consisted of two shows: the semi-final and final, which took place on 19 and 21 May 2005, respectively.  The shows were hosted by Maria Efrosinina and Pavlo Shylko.  Thirty-nine countries participated, including the débuts of Bulgaria and Moldova and the return of",retrieval,high,substring,True,False,False,recursive,500,100,33,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,2300,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,"The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring which American actor, called ""The King of Cool""?","Terence Steven ""Steve"" McQueen",Richard Attenborough,0.0,False,1.0,1.0,5.0,2.3333333333333335,2544.272900035139,1.0,1.0,5.0,2.3333333333333335,1244.4146999623626,2.3333333333333335,800.9193000034429,3788.687599997502,4589.606900000945,"---

## The Great Escape (film)
The Great Escape is a 1963 American World War II epic film based on an escape by British Commonwealth prisoners of war from a German POW camp during World War II, starring Steve McQueen, James Garner, and Richard Attenborough, filmed in Panavision.

---

The Great Escape is an insider's account by Australian writer Paul Brickhill of the 1944 mass escape from the German prisoner of war camp Stalag Luft III for British and Commonwealth airmen.  As a prisoner in the camp, he participated in the escape plan but was debarred from the actual escape 'along with three or four others on grounds of claustrophobia'.  The introduction to the book is written by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The

by George Harsh, an American POW at Stalag Luft III.  This book was made into the 1963 film ""The Great Escape"".

Terence Steven ""Steve"" McQueen (March 24, 1930 – November 7, 1980) was an American actor.  Called ""The King of Cool"", his ""anti-hero"" persona developed at the height of the counterculture of the 1960s and made him a top box-office draw of the 1960s and 1970s.  McQueen received an Academy Award nomination for his role in ""The Sand Pebbles"".  His other popular films include ""The Cincinnati Kid"", ""The Thomas Crown Affair"", ""Bullitt"", ""The Getaway"", and ""Papillon"", as well as the all-star ensemble

## Angler POW escape
In April 1941, inmates at the Angler POW Camp near Neys Provincial Park on the north shore of Lake Superior planned the largest escape from a Canadian POW camp during World War II.  The escape was the largest of its kind in Ontario, Canada.

---",generation,high,substring,True,True,True,recursive,500,100,16,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,1663,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,What is the title of Jung Ji-hoon's first single from his third album? ,"""It's Raining""","""Shining Down""",0.0,False,1.0,1.0,5.0,2.3333333333333335,2153.370400017593,1.0,1.0,5.0,2.3333333333333335,4076.0511999833398,2.3333333333333335,617.4741000286303,6229.421600000933,6846.895700029563,"---

## Rain (entertainer)
Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.

---

---

## Back to the World (song)
""Back to the World"" is the first single from R&B singer Tevin Campbell's third album of the same name.  Written by Jamey Jaz, Rahsaan Patterson and Mikelyn Roderick, it was the only single from his third album to garner decent success on the charts, peaking at #16 on the R&B Charts.  It was also the only single from the album to reach the Hot 100, peaking at #47.  This is Tevin's 10th and last single to date to reach the top 20 on the R&B Charts.

---

## It's Raining (Rain song)
""It's Raining"" is a Korean language song, and the first single from the third album, by Korean R&B singer, Rain.

---

in 1983 on the compilation album Catching Up With Mezzoforte which also included 7 songs from their second album, ""Í Hakanum/Octopus"" and peaked at #95 on the UK Album Chart.  Even though the third album’s title track was translated as ""Surprise"", the album is sometimes referred to in English as ""Dreamland"", which is the only song from the album released on a single, thus it can’t be confused with their fourth album, titled ""Surprise Surprise"" which was an international success, peaking at #23

""Shining Down"" is a song by Lupe Fiasco.  It was intended to be the first single of ""Everywhere"", the first of three CDs of Lupe Fiasco's triple album, ""Lupe Fiasco's LupE.N.D."" , but because of its release being withheld, there was speculation circulating that it may be the first single of his third album, ""Lasers"".  The song, however, was only included in the iTunes deluxe version of the album and was considered a promotional single.  The song is produced by Soundtrakk and features Matthew",generation,high,substring,True,True,True,recursive,500,100,32,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,1826,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,"Which magazine is published by with an independent volunteer editor, Doctor Who Magazine or National Contest Journal?",National Contest Journal,"The magazine described in the text is the **National Contest Journal**, as it explicitly states that it is ""published by the American Radio Relay League, with an independent volunteer editor."" While **Doctor Who Magazine** (DWM) is noted as being edited by a long-serving individual (Tom Spilsbury) and recognized for having the longest running TV tie-in, it does not mention an ""independent volunteer editor"" in the context provided.

Therefore, the answer is **National Contest Journal**.",0.03389830508474576,True,5.0,5.0,4.0,4.666666666666667,2174.8723999480717,5.0,5.0,4.0,4.666666666666667,1393.6308000120334,4.666666666666667,1248.273800010793,3568.503199960105,4816.776999970898,"## National Contest Journal
The National Contest Journal (also referred to by the acronym NCJ) is a bimonthly magazine published by the American Radio Relay League, with an independent volunteer editor.  The magazine covers topics related to amateur radio contesting.  The magazine is published in English and draws its subscription base primarily from the United States of America and Canada.

---

---

## Doctor Who Magazine
Doctor Who Magazine (abbreviated as DWM) is a magazine devoted to the long-running British science fiction television series ""Doctor Who"".  Its current editor is Marcus Hearn, who took over from the magazine's longest-serving editor, Tom Spilsbury, in July 2017.  It is currently recognised by ""Guinness World Records"" as the longest running TV tie-in magazine.

---

---

## NARAM
NARAM is the Annual Meet of the National Association of Rocketry (NAR).  It is the national contest culminating the rocket contest year, and also includes fun, or ""sport,"" flying of model rockets for those who don't wish to compete.  The NAR is the governing body for the sport/hobby of model rocketry in the United States.  NARAM is traditionally held the first week of August.

---

her storybook ""La Furia de las pestes"", soon to be published.  She was included in the anthologies ""Quand elles se glissent dans la peau d'un homme"" (Éditions Michalon, Francia.  2007), ""Una terraza propia"" (Norma, 2006), ""La joven guardia"" (Norma, 2005), ""Cuentos Argentinos"" (Siruela, España 2004), among others.  In 2010 she was chosen by the Granta magazine as one of the 22 best writers in Spanish under 35 years.  Some of her stories have been translated into English, French, Serbian,

---

## Rube Goldberg Machine Contest
The Rube Goldberg Machine Contest is a contest in which college or high school students build devices to complete a simple task in a minimum of twenty steps in the style of American cartoonist Rube Goldberg.  Local contests are held throughout the United States, and local winners are eligible to compete in the national contest.",none,n/a,substring,True,True,True,recursive,500,100,23,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,2055,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,Who resigned as the Welsh Assembly Member for the North Wales region to represent Eddisbury in the House of Commons in the UK Parliament in 2015?,Antoinette Sandbach,"According to the context, Antoinette Sandbach resigned as the Welsh Assembly Member for the North Wales region on **8 May 2015** to represent Eddisbury in the House of Commons, where she was elected in 2015 by the Conservative Party.",0.1142857142857143,True,5.0,5.0,4.0,4.666666666666667,2805.344199994579,5.0,5.0,4.0,4.666666666666667,1557.9687000135891,4.666666666666667,1069.0677000093274,4363.312900008168,5432.380600017495,"## Eddisbury (UK Parliament constituency)
Eddisbury is a constituency in Cheshire represented in the House of Commons of the UK Parliament since 2015 by Antoinette Sandbach, a Conservative.

---

---

## Antoinette Sandbach
Antoinette Geraldine Mackeson-Sandbach (born 15 February 1969), known in politics as Antoinette Sandbach, is a Conservative Party politician who was elected as the Member of Parliament for Eddisbury at the 2015 general election.  The following day, 8 May 2015, she resigned as the Welsh Assembly Member for the North Wales region.  having been elected as a North Wales regional Assembly Member at the May 2011 election.

---

to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the Year"" by the BBC Wales am.pm programme.  He resigned from the Welsh Assembly on 20 June 2013.  In 2017 he unsuccessfully sought to return to the House of Commons for his former constituency.

Brynle Williams (9 January 1949 – 1 April 2011) was a North Wales Assembly Member (AM) for the Welsh Conservative Party in the National Assembly for Wales.  Elected from the North Wales Regional list, he was Shadow Minister for Rural Affairs from 2007 to 2011.  Williams, who was a farmer from North Wales, was a colourful political figure who was respected for his straight talking and campaigning on rural issues; although privately he admitted he never saw himself as a politician.

Ieuan Wyn Jones (born 22 May 1949) is a Welsh politician who was the Deputy First Minister in the Welsh Assembly Government from 2007 to 2011.  He was the Member of the National Assembly for Wales for the Ynys Môn constituency from 1999 to 2013, and he was also leader of Plaid Cymru from 2000 to 2012.  Jones served as Member of Parliament for Ynys Môn constituency from 1987 to 2001, when he retired to focus on his work in the Welsh Assembly.  In 2007, Jones was named Wales' ""Politician of the",none,n/a,substring,True,True,True,recursive,500,100,18,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,1921,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington, the team appeared in the 2005 NCAA tournament, losing to which female basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I?",Texas Tech Lady Raiders basketball,"Based on the provided text, the team that appeared in the 2005 NCAA tournament against the ""4 seed Texas Tech"" is the **Texas–Arlington Mavericks women's basketball team**. The text explicitly states the 2005 tournament game resulted in a loss to ""Texas Tech"" and notes that Texas Tech competes in the **Big 12 Conference**.

The specific answer to your question is **Texas Tech**.",0.12000000000000001,False,5.0,5.0,4.0,4.666666666666667,2679.25650003599,4.0,5.0,4.0,4.333333333333333,1499.9593999818899,4.5,1101.0702000348829,4179.21590001788,5280.286100052763,"The Texas–Arlington Mavericks women's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference and representing the University of Texas at Arlington.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team appeared in the 2005 NCAA tournament, losing to #4 seed Texas Tech in the first round, 69–49, and the 2007 NCAA tournament, dropping their first round game to #4 seed Texas A&M 58–50.

## Texas–Arlington Mavericks men's basketball
The Texas–Arlington Mavericks men's basketball team is an NCAA Division I college basketball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on the University of Texas at Arlington's campus in Arlington.  The team appeared in the 2008 NCAA tournament, losing against the #1 seed Memphis in the first round, although Memphis was later forced to vacate the win due to infractions committed by the program.

The Texas–Arlington Mavericks volleyball team, historically one of the most nationally prominent teams on campus, is an NCAA Division I college volleyball team competing in the Sun Belt Conference.  Home games are played at College Park Center, located on University of Texas at Arlington's campus in Arlington.  The team has appeared in eight AIAW National Tournaments, eight NCAA Tournaments and one National Invitational Volleyball Championship Tournament, collecting 12 regular seasons titles

---

## Texas Tech Lady Raiders basketball
The Texas Tech Lady Raiders basketball team represents Texas Tech University and competes in the Big 12 Conference of NCAA Division I.  Candace Whitaker, a former player for the Lady Raiders, was named head coach in 2013.  In her inaugural season in 2013–14, the team finished winless in league play with a conference mark of 0–18.

---

The 2016–17 Troy Trojans women's basketball team represented Troy University during the 2016–17 NCAA Division I women's basketball season.  The Trojans, led by fifth year head coach Chanda Rigby, played their home games at Trojan Arena and were members of the Sun Belt Conference.  They finished the season 22–11, 12–6 in Sun Belt play to finish in third place.  They defeat Arkansas State, Texas–Arlington and Louisiana–Lafayette to become champions of the Sun Belt Tournament to earn an automatic",generation,high,substring,True,True,True,recursive,500,100,35,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,2379,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
naive,recursive,qwen3.5:0.8b,What is the middle name of the daughter of Paul M. Fleiss?,Lynne,"Based on the context provided, Paul M. Fleiss was a pediatrician, but there is no information in the text about his daughter. The text introduces Heidi Fleiss as a former madam in the context of the provided context (likely a hallucination or typo by the source material), and does not mention any children or middle names associated with Paul M. Fleiss.

Therefore, the answer is **not found** in the provided context.",0.0,False,4.0,5.0,4.0,4.333333333333333,3243.0331999785267,2.0,2.0,3.0,2.3333333333333335,1771.8464000499807,3.333333333333333,871.767100004945,5014.879600028507,5886.646700033452,"## Paul M. Fleiss

Paul Murray Fleiss (September 8, 1933 – July 19, 2014) was an American pediatrician and author known for his unconventional medical views.  Fleiss was a popular and sought-after pediatrician in the Greater Los Angeles area, both among poor and middle-class patients living near his Los Feliz office and among Southern California celebrities.  Fleiss was a breastfeeding and anti-circumcision advocate.  He recommended but did not insist upon childhood vaccinations, and stated he could be ""convinced

---

## Heidi Fleiss
Heidi Lynne Fleiss (born December 30, 1965) is an American former madam, and also a columnist and television personality regularly featured in the 1990s in American media.  She ran a prostitution ring based in Los Angeles, California, and is often referred to as the ""Hollywood Madam"".

---

given the middle name ""Ryman"" but a clerical error on his birth certificate resulted in his middle name being recorded as ""Lyman.""

## Milhouse Van Houten
Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.  Later in the series, it is revealed that Milhouse's middle name is ""Mussolini.""

---",generation,high,substring,True,True,True,recursive,500,100,22,ollama,qwen3-embedding:0.6b,1024,hybrid,5,5,1310,,,ollama,local,qwen3.5:0.8b,Q8_0,hotpotqa,42
